,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
234,223623903,18 04 27.910,-25 39 57.81,1,15.050999999999998,,,,18042790-2539578,STAR,J,,,,,,,,,,,,,,,,,,13.718,0.07200000000000001,12.774000000000001,0.099,12.33,0.051,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-cc0-0-0,5.6,0643-0666839
235,223629658,18 16 52.587,-25 39 22.48,1,14.338,,,322-152547,18165259-2539224,STAR,JHK,,5.6,3.7,-1.8,11.6,,,,,,,,,,,,,12.103,0.028999999999999998,11.341,0.03,11.151,0.026000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.4,
236,223646517,18 15 59.843,-25 37 41.09,1,14.755,,,322-150030,18155984-2537410,STAR,JHK,,10.6,5.5,-4.2,5.5,,,,,,,,,,,,,12.52,0.033,11.824000000000002,0.032,11.667,0.033,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.7,
237,223659441,18 17 01.492,-25 36 22.10,1,12.974,,,322-152938,18170149-2536221,STAR,JHK,,11.5,3.5,-13.0,3.5,,,,,,,,,,,,,10.856,0.027999999999999997,10.247,0.03,10.038,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.0,
238,223665374,18 23 11.901,-25 35 45.84,1,14.592,,,323-168339,18231190-2535457,STAR,JHK,,-3.2,5.5,-8.6,5.6,,,,,,,,,,,,,13.259,0.02,12.847000000000001,0.025,12.748,0.025,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,10.2,
239,223695197,17 43 02.129,-25 32 43.77,1,13.76,,,,17430212-2532437,STAR,J,,,,,,,,,,,,,,,,,,12.374,0.036000000000000004,11.130999999999998,0.031,10.714,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,9.5,0644-0585715
240,223700424,18 01 58.982,-25 32 12.27,1,15.14,,,323-128831,18015896-2532122,STAR,gri,,3.7,4.6,2.9,4.6,,,16.831,0.08,15.589,0.055,16.142,0.053,15.158,0.057999999999999996,14.71,0.085,13.270999999999999,0.022000000000000002,12.737,0.026000000000000002,12.599,0.04,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,15.9,
241,223787734,18 08 04.332,-25 23 19.80,1,15.162,,,,18080433-2523198,STAR,J,,,,,,,,,,,,,,,,,,13.825,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUU-266-200-c00-0-0,3.5,0646-0660639
242,223802647,18 06 55.475,-25 21 48.68,1,13.289000000000001,,,324-128559,18065547-2521486,STAR,gri,,5.4,4.6,-19.2,3.8,,,14.614,0.02,13.725999999999999,0.034,14.261,0.035,13.491,0.043,12.873,0.063,11.989,0.033,11.535,0.028999999999999998,11.343,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-122-0cc-0-0,5.3,
243,223824828,18 05 41.302,-25 19 34.20,1,11.077,,6846-1229-1,324-127740,18054129-2519341,STAR,gri,,-0.5,2.8,-2.4,2.5,,,11.210999999999999,0.076,10.993,0.092,11.175,0.03,11.045,0.04,10.868,0.06,10.124,0.021,10.044,0.022000000000000002,10.001,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,6.5,
