,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
1757,1757,1757,1757,1757,1757,240561262,17 38 15.437,-28 55 25.32,1,10.94,,6839-466-1,306-134702,17381543-2855252,STAR,gri,rpm,2.2,3.1,-2.2,2.9,,,11.826,0.125,11.279,0.116,11.445,0.03,10.956,0.04,10.724,0.06,9.65,0.021,9.5,0.026,9.348,0.025,15326,6804,4536,3.474,0.48,0.084,0.127,0.12,0.18,6.987,2.202,2.948,6.187,6.634,1.951,0.015,0.052,0.006,1740,677.6,880.1,1.271,0.115,0.115,AAA-222-111-00d-0-0,9.9,
1758,1758,1758,1758,1758,1758,240561331,17 38 08.939,-28 55 24.41,1,10.305,,6839-297-1,306-134665,17380895-2855244,STAR,gri,plx,-13.3,2.7,-23.1,2.4,,,10.942,0.062,10.342,0.05,10.698,0.03,10.319,0.04,10.136,0.06,9.336,0.024,9.032,0.024,8.972,0.025,6174,183,146,4.119,0.168,0.14,-0.203,0.25,0.45,1.469,0.202,0.243,1.13,0.131,0.21,0.317,0.232,0.103,208.4,36.82,36.82,0.125,0.064,0.046,AAA-222-111-000-0-0,7.1,
1759,1759,1759,1759,1759,1759,240561511,17 36 53.608,-28 55 21.93,1,14.196,,,306-134366,17365360-2855219,STAR,JHK,rpm,10.5,2.7,-7.5,2.3,,,,,,,,,,,,,12.712,0.061,12.303,0.122,12.114,0.098,5826,311,809,4.18,0.285,0.627,-0.109,0.25,0.5,1.339,1.496,0.456,1.045,0.221,0.158,0.366,0.69,0.322,837.2,654.3,319.8,0.386,0.241,0.161,ABA-222-111-000-0-0,8.3,
1760,1760,1760,1760,1760,1760,240561540,17 37 51.678,-28 55 21.66,1,13.544,,,306-134592,17375167-2855216,STAR,gri,rpm,-5.7,3,-1.3,3.1,,,16.241,0.06,14.424,0.039,15.592,0.045,13.579,0.043,12.666,0.062,10.552,0.033,9.759,0.046,9.485,0.035,4653,84,450,2.039,0.21,0.56,0.169,0.2,0.28,26.881,10.431,10.443,2.323,1.379,1.103,1.50E-04,2.00E-04,1.22E-04,3152,1042,1240,1.55,0.146,0.438,AAA-222-111-000-0-0,7,
1761,1761,1761,1761,1761,1761,240561604,17 34 34.781,-28 55 20.90,1,13.583,,,306-133739,17343478-2855208,STAR,gri,rpm,-2.8,2,-25,1.9,,,15.142,0.02,13.998,0.036,14.598,0.037,13.598,0.043,13.148,0.064,11.702,0.02,11.155,0.027,11.034,0.023,5009,151,151,3.46,1.134,0.126,-0.415,0.54,0.45,2.973,0.355,2.218,0.915,0.108,0.092,0.034,1.841,0.011,893.9,316.4,639.2,0.437,0.134,0.214,AAA-222-111-000-0-0,7,
1762,1762,1762,1762,1762,1762,240562219,17 29 10.948,-28 55 12.98,1,13.483,,,,17291094-2855129,STAR,J,apo,,,,,,,,,,,,,,,,,12.051,0.033,10.95,0.04,10.477,0.033,3934,78,94,1.493,0.12,0.144,0.292,0.12,0.12,31.682,5.61,4.025,1.07,0.307,0.021,3.48E-05,1.73E-05,1.33E-05,6371,1066,913.4,1.202,0.512,0.366,AAA-222-111-000-0-0,6.1,0610-0591302
1763,1763,1763,1763,1763,1763,240563294,17 35 51.852,-28 54 58.68,1,13.131,,,306-134073,17355183-2854586,STAR,gri,rpm,3.1,1.7,-7.9,1.8,,,13.912,0.044,13.313,0.032,13.584,0.032,13.14,0.042,12.937,0.063,11.82,0.036,11.465,0.058,11.191,0.046,6447,455,379,4.08,0.204,0.204,0.034,0.12,0.21,1.629,0.624,0.352,1.362,0.251,0.251,0.279,0.241,0.157,744.8,239.8,181.4,0.317,0.122,0.122,AAA-222-111-000-0-0,6.3,
1764,1764,1764,1764,1764,1764,240563555,17 28 40.761,-28 54 55.20,1,11.488,,6838-593-1,306-131570,17284076-2854552,STAR,BV,plx,-1.8,2.9,-1.7,2.6,,,11.511,0.084,11.408,0.126,11.345,0.03,,,,,10.874,0.021,10.834,0.021,10.8,0.023,9060,852,852,4.192,0.085,0.153,0.028,0.15,0.12,1.891,0.512,0.213,2.099,0.352,0.234,0.281,0.111,0.116,686.7,146.2,146.2,0.293,0.106,0.088,AAA-222-111-000-0-0,7.5,
1765,1765,1765,1765,1765,1765,240565375,17 34 58.797,-28 54 30.82,1,13.808,,,306-133843,17345878-2854308,STAR,gri,rpm,-3.4,2,3.1,2.1,,,15.063,0.02,14.153,0.037,14.619,0.037,13.84,0.045,13.46,0.066,12.005,0.029,11.464,0.043,11.166,0.035,5209,157,219,2.445,0.09,0.12,-1.055,0.28,0.2,9.282,1.484,1.108,0.888,0.024,0.018,0.001,4.37E-04,3.91E-04,3226,567.6,316.2,0.377,0.097,0.097,AAA-222-111-000-0-0,6.1,
1766,1766,1766,1766,1766,1766,240567012,17 36 18.720,-28 54 08.42,1,12.683,,,,17361871-2854084,STAR,J,col,,,,,,,,,,,,,,,,,11.065,0.042,9.655,0.046,8.912,0.033,3325,277,173,0.305,0.384,0.24,0.091,0.36,0.42,114.062,39.803,34.42,1.076,0.485,0.033,5.51E-07,1.21E-06,3.11E-07,8853,3412,2106,2.651,0.368,0.307,AAA-222-111-000-0-0,6.1,0610-0619003
1767,1767,1767,1767,1767,1767,240567796,17 37 22.038,-28 53 57.71,1,14.489,,,,17372203-2853577,STAR,J,col,,,,,,,,,,,,,,,,,13.161,0.085,12.084,0.109,11.616,0.067,4184,351,219,1.683,0.6,0.25,0.095,0.35,0.49,23.074,7.484,9.918,1.053,0.32,0.07,7.91E-05,4.50E-04,4.58E-05,7576,1809,2639,1.733,0.591,0.422,AAA-222-211-ccc-0-0,4.4,0611-0625280
1768,1768,1768,1768,1768,1768,240567845,17 37 21.707,-28 53 57.09,1,14.154,,,306-134470,17372170-2853569,STAR,gri,rpm,3.7,2.1,-25.8,2.5,,,16.114,0.05,14.816,0.043,15.489,0.044,14.288,0.048,13.582,0.067,12.061,0.043,11.402,0.075,11.213,0.054,4155,136,238,4.777,0.091,0.078,-0.055,0.22,0.06,0.507,0.088,0.097,0.583,0.088,0.117,4.387,1.81,1.281,161,19.31,58.65,0.119,0.094,0.047,AAA-222-211-ccc-0-0,4.4,
1769,1769,1769,1769,1769,1769,240569011,17 36 57.635,-28 53 41.17,1,14.564,,,306-134385,17365763-2853411,STAR,gri,rpm,6.6,2.2,4.3,2.3,,,16.61,0.07,15.28,0.05,16.027,0.051,14.637,0.051,13.937,0.071,11.909,0.032,11.443,0.047,11.136,0.033,5496,263,526,3.503,0.4,1.12,0.283,0.28,1.54,8.537,0.674,0.214,0.888,0.171,0.086,0.013,0.019,0.012,3491,2711,1222,2.465,0.534,1.388,AAA-222-111-000-0-0,11.8,
1770,1770,1770,1770,1770,1770,240569118,17 33 12.447,-28 53 39.53,1,10.816,,6838-1027-1,306-133401,17331245-2853397,STAR,gri,rpm,-3.3,3,-26.2,2.7,,,11.878,0.137,11.069,0.093,11.359,0.03,10.854,0.04,10.584,0.06,9.526,0.021,9.213,0.028,9.066,0.026,6066,234,195,3.978,0.348,0.174,-0.003,0.12,0.15,1.831,0.639,0.697,1.202,0.361,0.181,0.183,0.453,0.096,276.4,105.2,100.4,0.224,0.13,0.108,AAA-222-111-000-0-0,7.1,
1771,1771,1771,1771,1771,1771,240569264,17 38 02.748,-28 53 37.37,1,12.92,,,306-134640,17380274-2853373,STAR,gri,rpm,2.1,2.8,-6.9,3.6,,,15.397,0.03,13.684,0.034,14.611,0.037,12.994,0.041,12.195,0.061,10.154,0.022,9.414,0.026,9.139,0.023,4630,167,111,2.359,0.245,0.49,0.096,0.18,0.12,14.431,12.94,4.602,1.684,1.535,0.576,5.28E-04,7.38E-04,4.14E-04,1700,1451,526,1.067,0.05,0.143,AAA-222-111-000-0-0,6.6,
1772,1772,1772,1772,1772,1772,240570054,17 36 51.748,-28 53 26.63,1,14.658,,,306-134354,17365173-2853266,STAR,gri,rpm,-1.4,2.3,-3.9,2.3,,,16.312,0.06,15.327,0.05,15.856,0.049,14.725,0.052,14.144,0.074,12.887,0.05,12.453,0.083,12.358,0.058,5160,880,400,2.494,1.188,0.216,-0.584,0.7,0.5,8.4,2.859,5.53,0.942,0.673,0.073,0.001,0.06,6.47E-04,4023,1251,2464,0.739,0.331,0.276,AAA-222-111-000-0-0,6.5,
1773,1773,1773,1773,1773,1773,240570839,17 37 41.146,-28 53 16.59,1,14.497,,,306-134557,17374115-2853166,STAR,BV,rpm,-9.8,3.2,-2.8,3.3,,,15.704,0.04,14.676,0.041,,,,,,,12.353,0.051,11.826,0.046,11.624,0.037,4996,364,260,2.626,1.022,0.438,-0.672,0.66,0.55,7.263,4.164,4.74,0.93,0.318,0.055,0.002,0.06,0.002,2847,1462,1764,0.478,0.31,0.206,AAA-222-111-000-0-0,6.9,
1774,1774,1774,1774,1774,1774,240571733,17 38 55.768,-28 53 04.33,1,13.837,,,306-134908,17385577-2853044,STAR,JHK,rpm,-7.2,3,-6.6,3.1,,,,,,,,,,,,,11.907,0.036,11.433,0.06,11.145,0.043,5183,699,388,3.228,0.684,0.912,-0.357,0.45,0.72,4.18,6.052,2.198,1.03,0.514,0.161,0.012,0.087,0.012,1557,1781,830.9,0.463,0.295,0.211,AAA-222-111-000-0-0,6.5,
1775,1775,1775,1775,1775,1775,240572040,17 34 28.457,-28 52 59.89,1,14.018,,,306-133707,17342844-2852598,STAR,gri,rpm,3.8,2.1,-6.9,2.2,,,15.739,0.03,14.55,0.04,15.196,0.041,14.066,0.046,13.513,0.067,11.895,0.026,11.36,0.03,11.191,0.029,5035,122,245,2.784,0.763,0.545,-0.472,0.4,0.48,5.781,5.014,2.991,0.989,0.222,0.111,0.003,0.036,0.003,1943,1223,1053,0.603,0.175,0.175,AAA-222-111-000-0-0,6.4,
1776,1776,1776,1776,1776,1776,240572579,17 38 56.829,-28 52 52.48,1,13.468,,,306-134914,17385682-2852526,STAR,JHK,rpm,3.7,3.6,-38.4,3.6,,,,,,,,,,,,,11.472,0.036,10.981,0.055,10.69,0.041,3765,1358,67,4.934,0.05,0.38,-0.102,0.2,0.24,0.342,0.463,0.044,0.367,0.454,0.055,9.346,2.694,7.59,82.68,210.7,10.67,0.062,0.074,0.023,AAA-222-111-000-0-0,7.4,
1777,1777,1777,1777,1777,1777,240572828,17 37 31.678,-28 52 49.00,1,13.741,,,306-134518,17373167-2852489,STAR,gri,rpm,4.5,2.7,-9.1,2.8,,,15.258,0.02,14.134,0.037,14.689,0.037,13.732,0.044,13.335,0.065,11.91,0.021,11.434,0.021,11.341,0.026,5289,355,177,3.549,0.355,1.136,-0.196,0.35,0.63,2.972,6.132,1.185,1.106,0.463,0.193,0.043,0.079,0.041,1024,1655,338.1,0.532,0.1,0.18,AAA-222-111-000-0-0,7.5,
1778,1778,1778,1778,1778,1778,240572865,17 37 09.627,-28 52 48.46,1,14.944,,,306-134414,17370962-2852483,STAR,BV,rpm,2.8,2.3,1.3,2.3,,,16.347,0.06,15.164,0.048,,,,,,,12.425,0.052,12.047,0.038,11.789,0.035,9408,5438,3021,3.747,0.27,0.225,0.176,0.12,0.15,3.655,1.623,0.844,2.925,2.331,1.059,0.05,0.07,0.026,2133,1391,554.8,1.785,0.571,0.762,AAA-222-111-000-0-0,6.2,
1779,1779,1779,1779,1779,1779,240573982,17 38 05.621,-28 52 32.72,1,10.883,,,306-134649,17380561-2852326,STAR,gri,rpm,-17.8,3.1,-16.2,12.2,,,13.537,0.043,11.719,0.03,12.696,0.031,10.992,0.04,10.106,0.06,8.043,0.023,7.139,0.031,6.871,0.018,3778,105,60,1.113,0.24,0.36,0.093,0.18,0.27,52.241,20.372,14.656,1.273,0.295,0.136,7.59E-06,1.36E-05,5.37E-06,1881,662.3,489.8,0.38,0.112,0.07,AAA-111-111-000-0-0,7.7,
1780,1780,1780,1780,1780,1780,240574133,17 37 11.434,-28 52 30.66,1,12.483,,,,17371143-2852306,STAR,J,apo,,,,,,,,,,,,,,,,,10.827,0.029,9.542,0.04,8.924,0.029,4215,84,84,1.644,0.132,0.132,-0.294,0.12,0.15,25.403,3.43,4.127,1.031,0.123,0.077,6.19E-05,4.01E-05,2.16E-05,3680,555,570.9,0.677,0.437,0.364,AAA-222-111-000-0-0,7.1,0611-0624571
1781,1781,1781,1781,1781,1781,240574535,17 28 28.047,-28 52 25.10,1,12.112,,6838-497-1,306-131443,17282804-2852250,STAR,BV,plx,-2.6,2.9,-4.5,2.6,,,11.619,0.084,11.89,0.212,11.386,0.03,,,,,10.75,0.025,10.692,0.031,10.657,0.03,10027,3603,1501,3.917,0.205,0.246,0.072,0.15,0.12,3.098,1.234,0.586,2.913,1.191,0.662,0.093,0.088,0.056,1488,660.2,660.2,0.489,0.226,0.169,AAA-222-111-000-0-0,5.4,
1782,1782,1782,1782,1782,1782,240575065,17 35 09.978,-28 52 18.13,1,11.394,,6839-80-1,306-133897,17350999-2852179,STAR,gri,plx,-3,3.1,-3.8,2.9,,,12.055,0.161,11.654,0.176,11.753,0.03,11.423,0.04,11.24,0.06,10.321,0.024,10.128,0.03,10.021,0.025,7192,532,443,3.793,0.18,0.18,0.016,0.12,0.1,2.87,0.718,0.675,1.941,0.215,0.287,0.075,0.071,0.036,682.7,109.1,109.1,0.361,0.187,0.125,AAA-222-111-00d-0-0,6.7,
1783,1783,1783,1783,1783,1783,240575453,17 35 28.267,-28 52 12.77,1,11.059,,6839-338-1,306-133972,17352828-2852129,STAR,gri,,-6.2,3.1,6.1,3,,,12.012,0.15,12.064,0.249,11.611,0.03,11.113,0.04,10.822,0.06,9.844,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEE-222-111-000-0-0,6.6,
1784,1784,1784,1784,1784,1784,240575686,17 36 55.052,-28 52 09.76,1,11.928,,6839-40-1,306-134375,17365505-2852098,STAR,gri,rpm,-35.6,3.4,-53,3.6,,,12.733,0.317,11.859,0.214,12.61,0.031,11.999,0.04,11.636,0.06,10.494,0.026,10.094,0.041,9.982,0.033,5674,368,442,4.445,0.121,0.066,-0.226,0.25,0.75,0.888,0.157,0.154,0.882,0.096,0.128,1.106,0.603,0.278,268.7,66.46,96,0.232,0.092,0.147,AAA-222-111-000-0-0,7.4,
1785,1785,1785,1785,1785,1785,240575713,17 35 35.010,-28 52 09.42,1,15.078,,,306-133996,17353500-2852095,STAR,BV,rpm,4.4,2.2,0.5,2.3,,,16.087,0.05,15.268,0.049,15.569,0.046,,,,,12.993,0.038,12.592,0.056,12.482,0.089,6010,496,595,3.932,0.38,0.456,0.033,0.18,0.51,1.871,2.133,0.784,1.174,0.435,0.249,0.15,0.475,0.13,1286,1628,514.8,0.455,0.369,0.205,AAA-222-111-000-0-0,6.7,
1786,1786,1786,1786,1786,1786,240576201,17 37 26.119,-28 52 03.00,1,13.036,,,306-134490,17372612-2852029,STAR,gri,rpm,7.8,2,-5.3,1.8,,,14.14,0.045,13.37,0.033,13.744,0.033,13.075,0.042,12.732,0.062,11.464,0.024,11.044,0.032,10.88,0.025,5713,288,345,3.803,0.52,1.352,-0.371,0.4,0.88,1.98,6.145,0.784,0.982,0.198,0.124,0.109,0.492,0.108,661.6,1741,280.9,0.355,0.116,0.116,AAA-222-111-000-0-0,9.9,
1787,1787,1787,1787,1787,1787,240576799,17 37 13.459,-28 51 55.21,1,11.707,,6839-502-1,306-134436,17371344-2851551,STAR,BV,plx,4.9,4,-1.6,3.6,,,11.648,0.088,11.604,0.155,,,,,,,10.592,0.024,10.507,0.034,10.429,0.032,8263,1090,681,4.077,0.135,0.162,0.071,0.12,0.15,2.108,0.56,0.289,1.993,0.376,0.188,0.19,0.111,0.081,672.6,121.7,121.7,0.331,0.196,0.109,AAA-222-222-ccc-0-0,3.9,
1788,1788,1788,1788,1788,1788,240577898,17 35 36.928,-28 51 40.38,1,12.237,,,,17353692-2851403,STAR,J,rpm,-4,2,-12,0,,,,,,,,,,,,,10.551,0.026,9.159,0.025,8.473,0.021,4262,302,906,1.335,0.452,0.904,0.417,0.16,0.8,51.54,51.201,11.255,1.279,1.893,0.316,1.19E-05,4.72E-05,1.10E-05,8433,628.1,724.2,3.772,0.58,1.16,AAA-222-111-00s-0-0,6.9,0611-0618095
1789,1789,1789,1789,1789,1789,240579919,17 34 59.197,-28 51 13.24,1,13.558,,,306-133846,17345919-2851132,STAR,gri,rpm,-1.9,1.9,-7.4,2,,,15.074,0.02,13.98,0.036,14.583,0.037,13.568,0.043,13.119,0.064,11.558,0.03,11.123,0.037,10.93,0.034,5501,697,249,2.54,1.152,0.08,-1.036,0.98,0.35,8.004,0.894,5.109,0.888,0.771,0.02,0.002,0.063,4.09E-04,2231,179.5,1310,0.758,0.341,0.186,AAA-222-111-000-0-0,8.5,
1790,1790,1790,1790,1790,1790,240580960,17 30 43.669,-28 50 58.46,1,13.26,,,,17304366-2850584,STAR,J,rpm,-20,8,12,1,,,,,,,,,,,,,11.78,0.035,10.914,0.042,10.545,0.035,4284,331,276,1.413,0.915,0.305,-0.247,0.55,0.88,30.698,11.951,17.925,1.001,0.446,0.119,3.17E-05,5.65E-04,2.19E-05,6074,2318,3367,1.157,0.444,0.38,AAA-222-111-0ss-0-0,6,0611-0599312
1791,1791,1791,1791,1791,1791,240581164,17 35 43.980,-28 50 55.84,1,11.686,,6839-311-1,306-134026,17354399-2850555,STAR,gri,,6.8,3.2,-10.1,3.1,,,12.311,0.234,11.936,0.235,12.287,0.03,11.717,0.04,11.428,0.06,10.339,0.032,9.984,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,AAE-222-111-000-0-0,3.8,
1792,1792,1792,1792,1792,1792,240581792,17 35 26.159,-28 50 47.53,1,12.081,,,306-133961,17352616-2850475,STAR,gri,rpm,-0.8,1.6,-8.8,1.6,,,14.245,0.046,12.684,0.031,13.502,0.032,12.116,0.04,11.472,0.06,9.664,0.024,8.984,0.026,8.727,0.023,4635,174,116,2.475,0.224,0.14,0.002,0.15,0.24,11.435,1.846,1.88,1.475,0.51,0.319,9.26E-04,9.08E-04,3.39E-04,1126,218.4,158.7,0.725,0.109,0.109,AAA-222-111-000-0-0,10.3,
1793,1793,1793,1793,1793,1793,240582120,17 28 57.964,-28 50 42.75,1,9.392,,6838-411-1,306-131738,17285796-2850427,STAR,BV,plx,0.4,1.5,-2,1.5,,,9.383,0.021,9.304,0.022,,,,,,,8.966,0.034,8.897,0.022,8.867,0.023,12383,5902,3279,3.597,0.324,0.162,0.111,0.12,0.12,5.516,1.976,1.455,4.394,3.01,1.368,0.028,0.037,0.015,1434,856.3,856.3,0.491,0.302,0.189,AAA-122-111-000-0-0,9.3,
1794,1794,1794,1794,1794,1794,240582386,17 30 01.928,-28 50 39.26,1,16.315,,,,17300192-2850392,STAR,JHK,col,,,,,,,,,,,,,,,,,13.372,0.061,12.481,0.061,12.174,0.069,4438,236,236,2.218,0.264,0.396,0.095,0.35,0.63,13.29,6.604,2.428,1.066,0.388,0.086,4.21E-04,4.91E-04,3.05E-04,6033,2403,1141,1.277,0.371,0.309,AAA-222-112-ccc-0-0,4.1,0611-0596167
1795,1795,1795,1795,1795,1795,240582700,17 28 16.662,-28 50 35.01,1,15.827,,,,17281666-2850350,STAR,J,,,,,,,,,,,,,,,,,,14.45,0.067,13.648,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,AAU-220-110-cc0-0-0,4.8,0611-0586970
1796,1796,1796,1796,1796,1796,240582731,17 35 50.794,-28 50 34.54,1,11.243,,6839-399-1,306-134068,17355078-2850343,STAR,gri,plx,-2.4,3.1,-11.2,2.8,,,11.815,0.128,11.317,0.133,11.446,0.03,11.175,0.04,11.06,0.06,10.233,0.021,10.087,0.022,9.996,0.019,7986,1653,635,3.638,0.242,0.11,0.095,0.12,0.18,3.719,0.732,0.611,2.56,0.618,0.441,0.043,0.049,0.015,1135,336.1,336.1,0.58,0.238,0.238,AAA-222-111-00s-0-0,8.7,
1797,1797,1797,1797,1797,1797,240582936,17 34 01.981,-28 50 31.66,1,11.291,,,306-133592,,STAR,gri,,-1.4,2.7,-4.9,1.3,,,12.024,0.04,11.511,0.03,11.744,0.03,11.332,0.04,11.097,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,1798,1798,1798,1798,1798,240583487,17 39 03.946,-28 50 24.17,1,10.708,,6839-293-1,306-134947,17390394-2850241,STAR,gri,plx,3.8,2.7,-4,2.5,,,11.062,0.058,10.643,0.06,10.813,0.03,10.674,0.04,10.619,0.06,9.869,0.022,9.755,0.024,9.633,0.02,8636,1223,815,3.827,0.115,0.161,0.049,0.12,0.15,3.105,0.711,0.425,2.421,0.468,0.335,0.078,0.035,0.031,672.6,104.9,104.9,0.469,0.168,0.168,AAA-222-111-000-0-0,7.9,
1799,1799,1799,1799,1799,1799,240584551,17 35 24.016,-28 50 10.14,1,13.441,,,306-133954,17352401-2850101,STAR,gri,rpm,1.2,2.1,-1,2.2,,,16.187,0.05,14.307,0.038,15.286,0.042,13.55,0.043,12.65,0.062,10.385,0.023,9.592,0.026,9.34,0.025,4447,213,177,1.913,0.495,1.287,0.089,0.16,2.12,25.999,39.549,13.005,1.574,1.706,0.683,9.89E-05,4.20E-04,9.70E-05,3211,4737,1584,1.088,0.219,0.164,AAA-222-111-000-0-0,8.7,
1800,1800,1800,1800,1800,1800,240584564,17 36 34.012,-28 50 09.97,1,14.25,,,306-134278,17363401-2850100,STAR,BV,rpm,-0.8,2.1,1.2,2.2,,,15.83,0.04,14.507,0.04,15.196,0.041,,,,,11.481,0.03,11.046,0.036,10.795,0.027,18344,6096,8534,3.662,0.02,0.354,0.119,0.2,0.08,8.375,1.764,2.875,8.663,3.48,4.176,0.019,0.008,0.012,4354,130.6,1917,2.698,0.09,0.6,AAA-222-111-000-0-0,11.2,
1801,1801,1801,1801,1801,1801,240584793,17 28 54.439,-28 50 06.69,1,14.96,,,,17285443-2850066,STAR,J,rpm,-51.1,9,-30.1,9,,,,,,,,,,,,,13.63,0.041,12.744,0.042,12.415,0.041,4179,348,49,1.988,0.228,0.02,0.282,0.09,0.87,17.504,0.35,2.468,1.063,0.087,0.175,2.04E-04,1.50E-04,1.22E-05,8113,243.4,243.4,1.221,0.213,0.213,AAA-222-222-ccc-0-0,3.6,0611-0590587
1802,1802,1802,1802,1802,1802,240585103,17 37 13.863,-28 50 02.05,1,13.088,,,306-134438,17371385-2850020,STAR,gri,rpm,8.5,2,-2.6,2,,,15.74,0.03,13.96,0.035,14.916,0.039,13.24,0.042,12.304,0.061,10.11,0.024,9.349,0.03,9.048,0.025,4583,171,142,2.422,0.02,1.132,0.111,0.16,1.24,18.405,18.049,4.673,1.571,1.531,0.696,5.13E-04,1.73E-04,4.94E-04,2140,1484,609.5,1.116,0.126,0.126,AAA-222-111-000-0-0,6.9,
1803,1803,1803,1803,1803,1803,240585678,17 35 58.469,-28 49 54.14,1,12.187,,,306-134111,17355846-2849540,STAR,J,rpm,2.8,4.4,-11.9,4.3,,,,,,,,,,,,,10.498,0.024,9.198,0.023,8.648,0.023,3201,118,118,0.164,0.15,0.18,0.179,0.3,0.25,138.413,36.724,21.415,1.067,0.229,0.021,3.92E-07,2.66E-07,1.81E-07,9066,1367,1188,1.704,0.161,0.134,AAA-222-111-000-0-0,8.5,
1804,1804,1804,1804,1804,1804,240585944,17 38 27.862,-28 49 50.25,1,13.665,,,306-134776,17382786-2849502,STAR,gri,rpm,-0.7,3,0.9,3.1,,,16.831,0.1,14.609,0.041,15.785,0.047,13.762,0.044,12.756,0.062,10.298,0.02,9.422,0.024,9.134,0.019,4215,129,181,1.699,0.198,0.165,0.274,0.15,0.12,41.044,4.314,15.783,2.279,1.734,0.867,4.59E-05,5.22E-05,1.56E-05,4015,737.1,1381,1.241,0.078,0.284,AAA-222-111-000-0-0,7,
1805,1805,1805,1805,1805,1805,240586122,17 38 24.536,-28 49 47.60,1,13.732,,,306-134754,17382453-2849475,STAR,gri,rpm,-2.4,3.2,-2.6,5.1,,,15.445,0.03,14.241,0.037,14.894,0.039,13.79,0.044,13.233,0.064,11.82,0.026,11.225,0.031,11.101,0.026,4812,400,178,2.372,0.435,0.609,-0.782,0.7,0.5,9.887,9.232,3.34,0.908,0.279,0.044,6.93E-04,0.002,6.29E-04,2952,3201,837.9,0.511,0.299,0.166,AAA-222-111-000-0-0,7.8,
1806,1806,1806,1806,1806,1806,240586737,17 28 59.411,-28 49 39.35,1,16.905,,,,17285941-2849393,STAR,JHK,col,,,,,,,,,,,,,,,,,14.021,0.06,13.144,0.06,12.84,0.051,4503,229,114,2.311,0.161,0.115,0.058,0.42,0.49,11.652,1.543,1.615,1.056,0.178,0.065,6.41E-04,4.68E-04,2.08E-04,6870,1109,954.9,1.391,0.307,0.307,AAA-222-111-000-0-0,5.4,0611-0591053
1807,1807,1807,1807,1807,1807,240588057,17 34 45.540,-28 49 21.53,1,13.245,,,306-133781,17344553-2849215,STAR,gri,rpm,6.6,2,-5.4,2,,,15.739,0.03,14.022,0.036,14.967,0.039,13.384,0.043,12.508,0.061,10.376,0.023,9.563,0.025,9.348,0.025,3897,650,69,1.385,0.539,0.308,0.134,0.25,1.2,33.05,10.099,15.309,1.156,0.059,0.273,2.08E-05,9.06E-05,1.69E-05,4021,2646,1596,0.33,0.646,0.041,AAA-222-111-000-0-0,6.2,
1808,1808,1808,1808,1808,1808,240588754,17 36 45.833,-28 49 11.98,1,12.793,,,306-134326,17364583-2849120,STAR,JHK,rpm,-0.3,2.3,-9.6,2.2,,,,,,,,,,,,,10.257,0.021,9.487,0.022,9.188,0.021,4652,114,142,2.432,0.02,0.111,0.154,0.12,0.12,14.603,3.462,2.434,1.881,1.265,0.633,6.30E-04,9.33E-05,9.37E-05,1740,438.4,310.6,1.096,0.142,0.256,AAA-222-111-000-0-0,10,
1809,1809,1809,1809,1809,1809,240588789,17 38 58.123,-28 49 11.63,1,10.74,,6839-346-1,306-134921,17385812-2849115,STAR,gri,rpm,7.6,2.7,-6.5,2.4,,,10.962,0.054,10.823,0.072,10.804,0.03,10.719,0.04,10.678,0.06,10.008,0.029,9.922,0.043,9.824,0.038,8291,1055,753,4.084,0.144,0.24,0.042,0.15,0.15,2.187,0.919,0.554,2.132,0.398,0.478,0.191,0.148,0.105,582,235.6,190.5,0.312,0.162,0.135,AAA-222-111-0dd-0-0,6.8,
1810,1810,1810,1810,1810,1810,240588877,17 36 39.882,-28 49 10.37,1,13.717,,,306-134303,17363988-2849104,STAR,gri,rpm,-11.4,2.1,-15.1,2.1,,,14.939,0.02,14.078,0.036,14.491,0.036,13.76,0.044,13.385,0.066,12.072,0.04,11.652,0.047,11.485,0.038,5813,238,428,4.223,0.252,0.378,-0.111,0.2,0.24,1.274,0.715,0.362,1.014,0.116,0.139,0.474,0.739,0.339,570.2,300,169.3,0.438,0.103,0.172,AAA-222-111-000-0-0,8.2,
1811,1811,1811,1811,1811,1811,240588983,17 37 32.654,-28 49 08.87,1,11.756,,,306-134525,,STAR,gri,,1.2,1.5,1.5,1.5,,,13.123,0.041,12.195,0.03,12.716,0.031,11.827,0.04,11.344,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
