,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
1014,1014,1014,1014,1014,1014,240270768,17 37 17.407,-29 56 05.18,1,14.538,,,301-138501,17371741-2956051,STAR,BV,rpm,3.5,2.1,-1.2,2.1,,,16.065,0.05,14.784,0.043,,,,,,,12.119,0.033,11.63,0.047,11.44,0.048,5145,549,343,2.466,1.196,0.13,-0.69,0.72,0.45,8.846,2.067,5.96,0.933,0.459,0.051,0.001,0.055,4.43E-04,3246,515.4,2054,0.412,0.371,0.139,AAA-222-111-000-0-0,9.9,
1015,1015,1015,1015,1015,1015,240270796,17 43 06.962,-29 56 04.90,1,9.509,,6839-113-1,301-140043,17430696-2956049,STAR,BV,plx,-3.8,1.7,-5.1,1.4,,,9.583,0.023,9.443,0.023,,,,,,,8.882,0.024,8.874,0.031,8.852,0.02,12297,3931,2456,3.709,0.234,0.195,0.106,0.09,0.12,4.595,1.019,0.982,4.222,1.353,1.015,0.038,0.046,0.018,911.8,226,226,0.367,0.14,0.117,AAA-112-111-00s-0-0,6.2,
1016,1016,1016,1016,1016,1016,240271065,17 41 07.237,-29 56 01.42,1,13.795,,,,17410723-2956014,STAR,J,col,,,,,,,,,,,,,,,,,12.414,0.026,9.569,0.024,8.058,0.033,4292,128,77,1.089,0.498,1.328,0.149,0.35,0.25,99.602,191.783,53.335,2.055,3.41,0.041,3.59E-06,1.51E-05,3.53E-06,12520,3721,4682,11.378,0.109,0.408,AAA-221-111-000-0-0,8.3,0600-0655592
1017,1017,1017,1017,1017,1017,240271976,17 37 43.266,-29 55 50.03,1,13.018,,,301-138637,17374326-2955499,STAR,BV,rpm,1.6,2.4,-19,2.5,,,14.83,0.02,13.324,0.032,,,,,,,10.218,0.023,9.485,0.024,9.294,0.026,4637,130,111,2.454,0.438,0.292,-0.196,0.24,0.32,9.269,3.455,3.506,1.052,0.15,0.093,9.85E-04,0.003,6.17E-04,1349,347.8,588.7,0.725,0.146,0.122,AAA-222-111-000-0-0,7.8,
1018,1018,1018,1018,1018,1018,240272173,17 36 41.663,-29 55 47.68,1,14.427,,,301-138278,17364165-2955475,STAR,BV,rpm,3,2.1,-0.3,2.2,,,15.439,0.03,14.618,0.041,,,,,,,12.425,0.033,12.121,0.05,11.895,0.043,7557,5185,1178,3.82,0.294,0.252,0.131,0.12,0.12,3.157,1.303,1.341,2.259,1.745,0.793,0.07,0.189,0.039,1795,787.4,791.9,1.02,0.75,0.625,AAA-222-111-000-0-0,7,
1019,1019,1019,1019,1019,1019,240272367,17 29 20.025,-29 55 45.11,1,12.309,,6838-445-1,301-134332,17292003-2955452,STAR,BV,rpm,-1.9,3.1,-4.9,2.9,,,11.997,0.134,12.137,0.255,,,,,,,11.218,0.053,11.15,0.057,11.103,0.052,9026,3627,1554,4.047,0.18,0.216,0.058,0.14,0.1,2.418,1.013,0.714,2.253,1.273,0.579,0.141,0.157,0.074,1065,620,338.4,0.438,0.317,0.176,AAA-222-111-000-0-0,6.3,
1020,1020,1020,1020,1020,1020,240272601,17 41 21.351,-29 55 42.29,1,13.644,,,,17412135-2955422,STAR,J,col,,,,,,,,,,,,,,,,,12.241,0.022,9.926,0.023,8.931,0.025,3480,223,186,0.485,0.26,0.26,0.101,0.35,0.49,89.917,42.469,24.778,1.061,0.266,0.06,1.22E-06,1.85E-06,7.36E-07,8691,2200,1756,6.792,0.317,0.264,AAA-222-111-000-0-0,6.4,0600-0656471
1021,1021,1021,1021,1021,1021,240272808,17 30 37.694,-29 55 39.95,1,13.688,,,,17303769-2955399,STAR,J,col,,,,,,,,,,,,,,,,,12.292,0.05,11.172,0.06,10.651,0.04,3912,319,199,1.277,0.423,0.235,0.187,0.3,0.48,36.591,11.093,11.334,1.067,0.541,0.054,1.94E-05,5.25E-05,1.09E-05,7517,1816,2200,1.875,0.536,0.335,AAA-222-111-000-0-0,5.4,0600-0614852
1022,1022,1022,1022,1022,1022,240273158,17 28 41.702,-29 55 35.79,1,11.992,,,,17284170-2955357,STAR,J,col,,,,,,,,,,,,,,,,,10.3,0.024,8.955,0.024,8.163,0.046,4645,79,118,2.132,0.21,0.252,0.355,0.16,0.2,26.654,11.204,7.888,3.638,0.618,0.824,1.69E-04,2.57E-04,1.02E-04,5100,2025,1240,4.242,0.217,0.217,AAA-221-111-000-0-0,7.8,0600-0606512
1023,1023,1023,1023,1023,1023,240273375,17 28 34.664,-29 55 33.05,1,10.586,,6838-543-1,301-133929,17283466-2955329,STAR,BV,plx,8.8,2.7,-6,2.5,,,10.898,0.06,10.585,0.064,,,,,,,10.007,0.029,9.914,0.044,9.871,0.037,8950,3484,1340,3.871,0.252,0.252,0.071,0.12,0.15,3.158,1.272,1.054,2.565,1.257,0.571,0.08,0.106,0.046,1612,2368,2368,0.407,0.206,0.172,AAA-222-111-000-0-0,6,
1024,1024,1024,1024,1024,1024,240273541,17 42 01.386,-29 55 31.13,1,13.256,,,,17420138-2955311,STAR,J,col,,,,,,,,,,,,,,,,,11.775,0.061,8.963,0.032,7.443,0.02,4202,171,653,0.953,0.606,1.111,0.23,0.3,0.42,77.093,187.035,31.614,1.887,2.747,0.785,4.12E-06,1.69E-05,4.03E-06,9576,5812,2372,11.248,0.293,0.927,AAA-221-331-ccc-0-0,5.5,0600-0658894
1025,1025,1025,1025,1025,1025,240274270,17 43 01.614,-29 55 22.81,1,11.432,,6839-69-1,301-140024,17430161-2955228,STAR,gri,plx,0.1,3,-3.5,2.8,,,11.841,0.11,11.588,0.145,11.773,0.03,11.378,0.04,11.285,0.06,10.306,0.022,10.054,0.021,10.007,0.025,6499,307,191,3.91,0.145,0.174,0.011,0.12,0.12,2.225,0.652,0.429,1.556,0.217,0.186,0.121,0.087,0.058,589.1,103.8,103.8,0.218,0.078,0.065,AAA-222-111-000-0-0,7,
