EPIC,KepMag,Kmag,Teff,mass,Radius
220424884,11.48,9.883,5568,1.002,0.967
220424891,11.942,10.123,5161,0.971,2.681
220424950,10.233,7.519,4321,1.201,19.825
220424955,11.398,10.161,6174,1.171,1.409
220424963,11.794,10.404,5954,1.048,1.22
220425002,14.808,13.129,5208,0.863,0.829
220425026,14.008,11.969,4898,0.902,6.033
220425032,12.038,9.789,4812,0.986,5.995
220425058,11.96,11.532,7476,0.807,4.4
220425061,16.413,12.582,3616,0.304,0.29
220425066,17.436,,,,
220425113,15.746,12.727,3929,0.442,0.391
220425131,11.821,10.386,5933,1.128,1.429
220425159,12.077,10.883,6208,1.041,1.285
220425173,14.891,13.46,5673,0.794,0.803
220425194,12.076,10.68,5944,1.088,1.252
220425198,16.929,14.394,4243,0.558,0.51
220425214,15.87,12.768,3729,0.385,0.35
220425243,18.994,,,,
220425312,17.246,14.057,3470,0.222,0.233
220425368,16.828,14.749,5154,0.614,0.558
220425379,11.435,10.339,6511,1.354,1.64
220425388,15.958,14.32,5893,0.802,0.857
220425435,12.055,10.098,5029,0.937,3.611
220425454,17.896,,,,
220425508,13.733,12.321,5786,0.925,1.014
220425537,12.015,10.726,6105,1.07,1.252
220425569,13.386,10.652,4008,0.44,0.389
220425573,15.386,12.853,4398,0.534,0.486
220425657,15.014,11.764,3601,0.252,0.251
220425672,13.475,11.587,5358,0.862,0.81
220425676,13.869,12.179,5513,0.894,0.857
220425735,16.553,,,,
220425780,12.271,10.597,5590,0.938,0.984
220425851,12.228,10.424,5365,0.93,1.633
220425859,14.704,13.254,5832,0.831,0.891
220425886,16.408,12.693,3636,0.305,0.292
220425893,13.415,11.325,5046,0.901,3.544
220425895,15.742,13.143,4177,0.535,0.48
220425917,13.045,11.22,5174,0.875,3.347
220425959,11.585,10.034,5623,0.851,0.848
220425972,15.473,12.638,4177,0.557,0.498
220425984,13.107,11.697,5868,0.874,0.94
220425990,12.932,11.54,5567,0.885,0.876
220426040,16.689,14.05,4347,0.612,0.554
220426050,15.514,13.916,6014,0.86,1.024
220426109,14.039,12.062,5009,0.885,2.201
220426135,13.43,12.054,5910,0.979,1.058
220426138,13.219,11.877,5859,0.945,1.011
220426210,13.19,11.832,6015,1.068,1.314
220426213,12.664,11.174,5743,1.022,1.054
220426228,14.606,12.512,4975,0.755,0.713
220426258,18.885,14.896,3041,0.128,0.153
220426271,17.437,15.206,,,
220426305,12.131,10.913,6014,1.107,1.402
220426318,12.422,11.829,7138,1.59,1.757
220426326,12.28,9.79,4479,0.973,13.856
220426334,13.768,12.505,6129,1.024,1.277
220426342,16.599,,,,
220426365,13.239,10.976,4780,0.816,0.749
220426372,10.335,8.951,5573,0.919,0.919
220426374,18.099,14.733,3333,0.165,0.184
220426375,17.191,14.574,4291,0.551,0.499
220426393,16.573,,,,
220426405,11.888,10.401,5963,1.02,1.135
220426406,14.668,13.053,5769,0.916,0.97
220426410,13.51,11.38,4931,0.754,0.701
220426465,17.956,,,,
220426543,10.96,8.355,4633,1.08,10.073
220426595,18.589,,,,
220426604,13.478,11.654,5294,0.82,0.773
220426619,11.565,9.134,4519,0.948,15.01
220426620,17.938,,,,
220426622,17.496,14.712,,,
220426624,17.562,15.121,,,
220426630,13.731,11.079,4227,0.582,0.529
220426640,15.584,12.956,4386,0.634,0.571
220426655,13.625,11.588,4964,0.925,4.841
220426682,12.209,10.58,5890,1.03,1.117
