EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
220500609,15.992,14.53,6033,0.849,1.085
220500631,14.742,12.151,4455,0.662,0.597
220500679,18.167,15.122,3042,0.124,0.145
220500689,16.277,14.603,6012,0.857,1.026
220500697,10.853,9.186,5294,0.955,1.942
220500714,13.735,10.662,3971,0.508,0.452
220500723,11.448,10.7,7539,1.626,1.774
220500733,13.459,11.207,4519,0.715,0.64
220500740,15.75,14.507,5779,0.793,0.826
220500758,14.183,12.638,5804,0.931,0.972
220500766,14.022,11.791,4559,0.692,0.636
220500779,10.906,9.581,6047,1.057,1.239
220500780,18.68,,,,
220500798,18.68,15.254,3459,0.148,0.164
220500803,16.316,13.851,4781,0.718,0.666
220500885,13.177,11.82,6080,0.966,1.098
220500887,13.048,11.642,5940,1.079,1.229
220500891,13.702,12.27,5922,0.995,1.073
220500931,14.205,12.617,5737,0.892,0.919
220500981,14.965,13.339,5773,0.874,0.964
220501014,15.681,12.043,4073,0.546,0.475
220501046,17.741,,,,
220501059,12.652,11.837,6479,0.844,1.32
220501117,11.179,9.874,6000,1.16,1.582
220501140,12.81,11.319,5674,0.965,1.042
220501160,11.297,9.302,5067,0.829,0.764
220501176,17.239,15.409,,,
220501187,13.565,12.062,5869,0.979,1.157
