EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
213575543,19 16 34.021,-28 57 05.61,1,12.006,,,306-269374,19163401-2857055,STAR,gri,rpm,-10,1.2,-6.7,1.2,,,13.708,0.043,12.364,0.031,13.039,0.031,11.955,0.04,11.564,0.06,10.171,0.022,9.593,0.025,9.42,0.02,4611,108,90,2.389,0.256,0.04,-0.021,0.2,0.24,11.471,0.719,3.176,1.216,0.157,0.131,7.78E-04,0.002,1.10E-04,1554,92.85,345.5,0.192,0.16,0.089,AAA-222-111-000-0-0,,
213575638,19 24 28.162,-28 57 04.40,1,12.731,,,306-271213,19242816-2857044,STAR,gri,rpm,4.4,1.7,0.2,1.9,,,14.398,0.04,13.08,0.02,13.734,0.033,12.691,0.01,12.3,0.05,10.935,0.024,10.335,0.022,10.238,0.021,4654,109,91,2.394,0.276,0.322,-0.106,0.2,0.48,11.185,3.198,2.169,1.164,0.351,0.25,8.49E-04,0.001,4.23E-04,2224,729.6,361.4,0.191,0.125,0.078,AAA-222-111-000-0-0,,
213575940,19 22 05.801,-28 57 00.96,1,13.925,,,306-270660,19220580-2857009,STAR,gri,rpm,-2.2,2.1,-2.1,2,,,15.445,0.03,14.264,0.04,14.872,0.02,13.849,0.05,13.519,0.03,12.035,0.022,11.352,0.024,11.232,0.025,4546,89,89,1.77,0.462,0.21,-0.744,0.35,0.25,19.672,5.151,7.878,0.916,0.071,0.022,1.16E-04,4.41E-04,6.66E-05,6297,1486,2346,0.166,0.121,0.055,AAA-222-111-000-0-0,,
213576140,19 19 48.530,-28 56 58.79,1,12.053,,,306-270088,19194853-2856587,STAR,gri,rpm,-3.5,1.9,-1.4,1.8,,,14.229,0.02,12.623,0.031,13.454,0.032,12.067,0.04,11.453,0.06,9.69,0.023,8.884,0.065,8.631,0.019,4048,96,96,1.045,0.616,0.528,-0.581,0.7,0.5,44.131,27.606,19.496,0.954,0.399,0.064,7.44E-06,5.21E-05,5.76E-06,3827,2823,1412,0.203,0.149,0.093,AAA-212-111-000-0-0,,
213576474,19 20 10.356,-28 56 54.72,1,14.105,,,306-270180,19201034-2856546,STAR,JHK,rpm,19,4.6,3.9,4.6,,,,,,,,,,,,,11.977,0.026,11.371,0.024,11.156,0.021,3836,768,67,4.89,0.03,1.914,0.006,0.15,0.15,0.388,5.449,0.033,0.434,0.543,0.044,7.07,1.237,7.066,104.5,2104,10.94,0.033,0.194,0.009,AAA-222-111-000-0-0,,
213576569,19 21 27.004,-28 56 53.50,1,13.656,,,306-270511,19212701-2856535,STAR,gri,rpm,-1.7,1.9,-12,2,,,14.883,0.01,13.902,0.04,14.358,0.04,13.557,0.01,13.355,0.03,11.989,0.024,11.49,0.029,11.307,0.023,5083,122,81,3.727,0.891,0.594,-0.094,0.25,0.55,2.191,1.734,1.438,0.928,0.295,0.07,0.096,1.659,0.083,876.1,604.9,595.2,0.11,0.07,0.032,AAA-222-111-000-0-0,,
213577023,19 22 27.568,-28 56 47.74,1,14.182,,,306-270747,19222757-2856476,STAR,gri,rpm,-12.1,2.2,-56.1,2.7,,,15.78,0.03,14.561,0.01,15.194,0.03,14.127,0.046,13.748,0.02,12.215,0.024,11.601,0.023,11.476,0.019,4480,87,105,4.701,0.088,0.055,-0.311,0.36,0.3,0.573,0.074,0.102,0.638,0.071,0.099,3.075,1.452,0.66,212.8,31.52,39.83,0.059,0.02,0.01,AAA-222-111-000-0-0,,
213577147,19 31 16.538,-28 56 46.35,1,11.78,,,306-272571,19311654-2856463,STAR,gri,rpm,6.7,1,-34.9,1.1,,,13.095,0.01,12.104,0.03,12.588,0.031,11.793,0.01,11.433,0.03,10.3,0.024,9.76,0.024,9.661,0.025,4962,99,59,2.997,0.125,0.975,-0.811,0.3,0.84,5.012,9.403,0.789,0.897,0.045,0.08,0.007,0.004,0.007,876,1098,265.5,0.159,0.057,0.041,AAA-222-111-000-0-0,,
213577406,19 23 16.040,-28 56 43.15,1,14.038,,,306-270931,19231604-2856431,STAR,gri,rpm,0.3,2.3,-6,2.1,,,15.286,0.03,14.352,0.01,14.846,0.06,14.07,0.03,13.692,0.03,12.416,0.022,11.866,0.028,11.789,0.027,4912,151,121,2.254,0.39,0.468,-1.02,0.4,0.56,9.975,7.217,3.638,0.891,0.056,0.045,5.91E-04,0.002,4.73E-04,4268,2808,1467,0.17,0.151,0.063,AAA-222-111-000-0-0,,
213577954,18 53 52.632,-28 56 36.23,1,17.775,,,,18535263-2856362,STAR,J,,,,,,,,,,,,,,,,,,16.259,0.097,15.889,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,ABU-220-110-000-0-0,10.8,
213578043,19 22 33.325,-28 56 35.02,1,13.879,,,306-270766,19223333-2856349,STAR,gri,rpm,2.6,2,-9.1,2,,,15.01,0.02,14.14,0.04,14.51,0.036,13.896,0.02,13.609,0.02,12.379,0.024,11.895,0.026,11.809,0.023,5231,153,122,2.466,0.728,0.336,-1.187,0.24,0.84,8.829,3.303,5.045,0.87,0.024,0.063,0.001,0.013,7.61E-04,3713,1605,2008,0.134,0.079,0.043,AAA-222-111-000-0-0,,
213578495,19 21 48.721,-28 56 29.90,1,12.154,,,306-270593,19214871-2856298,STAR,JHK,rpm,0.2,5.1,5.7,5.1,,,,,,,,,,,,,10.495,0.022,9.994,0.022,9.823,0.021,4839,168,84,2.687,0.21,0.315,-0.03,0.25,0.65,9.924,1.533,2.113,1.678,0.571,0.799,0.002,0.002,8.02E-04,1720,218.7,299.8,0.185,0.125,0.078,AAA-222-111-000-0-0,,0610-0976631
213578581,19 18 26.345,-28 56 28.85,1,13.938,,,306-269802,19182634-2856287,STAR,BV,rpm,-2.2,4.4,-2.8,3.1,,,15.172,0.04,14.123,0.036,,,,,,,12.532,0.024,12.093,0.026,12.001,0.028,5271,165,132,2.468,1.222,0.065,-0.89,0.66,0.3,9.02,0.78,6.419,0.901,0.063,0.021,0.001,0.078,2.90E-04,4174,267.8,2893,0.144,0.127,0.049,AAA-222-111-000-0-0,,
213579312,19 23 55.137,-28 56 20.18,1,14.118,,,306-271095,19235513-2856202,STAR,gri,rpm,-0.3,2.7,-1.6,2.2,,,15.361,0.02,14.419,0.03,14.875,0.01,14.173,0.03,13.794,0.01,12.615,0.026,12.156,0.028,12.014,0.024,5330,168,202,2.472,0.065,0.13,-1.205,0.25,0.25,8.98,1.402,0.695,0.88,0.021,0.018,0.001,3.06E-04,4.35E-04,4236,670.3,273.6,0.315,0.093,0.167,AAA-222-111-000-0-0,,
213579357,19 21 41.755,-28 56 19.55,1,12.653,,,306-270568,19214175-2856195,STAR,gri,rpm,29.9,1.6,-30,1.7,,,13.596,0.01,12.842,0.02,13.159,0.031,12.602,0.02,12.436,0.04,11.277,0.024,10.911,0.024,10.772,0.025,5689,137,102,4.438,0.065,0.377,-0.207,0.2,0.28,0.948,0.527,0.099,0.934,0.057,0.102,1.012,0.322,0.758,308.2,176.7,53.02,0.101,0.04,0.04,AAA-222-111-000-0-0,,
213579699,19 22 55.957,-28 56 14.91,1,13.21,,,306-270857,19225595-2856149,STAR,gri,rpm,-26.8,2.7,12.8,2.4,,,14.545,0.06,13.534,0.03,14.024,0.01,13.182,0.02,12.861,0.02,11.64,0.024,11.125,0.024,11.028,0.02,4931,56,170,4.597,0.168,0.912,-0.069,0.12,0.72,0.731,1.836,0.109,0.803,0.243,0.152,1.956,2.343,1.888,232.2,586.4,41.89,0.07,0.039,0.011,AAA-222-111-000-0-0,,
