EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
210476582,04 11 09.461,+15 00 37.97,1,14.431,,,526-007896,04110945+1500380,6485-301-3-0135-0069,STAR,gri,rpm,-8.3,3,-41.2,3.3,,,17.037,0.1,15.225,0.03,,,16.194,0.05,14.569,0.02,13.675,0.06,,,11.79,0.025,11.043,0.027,10.825,0.023,3744,45,37,4.966,0.02,0.084,-0.062,0.28,0.05,0.323,0.063,0.006,0.356,0.07,0.007,10.4,0.624,3.138,80.56,15.32,2.417,0.239,0.002,0.023
210476662,03 35 28.452,+15 00 42.61,1,10.864,,1234-410-1,526-006447,03352845+1500427,,STAR,gri,rpm,10.3,1.9,-3.2,1.9,,,11.929,0.138,11.501,0.142,,,11.483,0.02,10.742,0.12,10.598,0.04,,,9.611,0.02,9.311,0.022,9.225,0.017,6248,263,263,3.855,0.37,0.185,0.006,0.12,0.12,2.247,0.927,0.909,1.475,0.277,0.333,0.104,0.281,0.054,344.3,119.1,130.2,0.358,0.15,0.15
210476768,04 00 48.096,+15 00 49.51,1,13.233,,,526-007485,04004808+1500496,,STAR,gri,rpm,-12.9,5.4,-14.3,11.4,,,14.635,0.04,13.572,0.01,,,14.112,0.03,13.224,0.042,12.856,0.04,,,11.699,0.022,11.213,0.02,11.134,0.02,5221,212,212,4.445,0.132,1.166,-0.216,0.25,0.5,0.979,2.661,0.22,0.912,0.156,0.072,0.991,0.755,0.972,331.9,790.3,90.36,0.374,0.088,0.176
210476794,04 14 22.329,+15 00 51.37,1,13.264,,,526-008015,04142233+1500514,,STAR,gri,rpm,6.6,2,-11,3.7,,,14.695,0.03,13.622,0.03,,,14.168,0.03,13.248,0.02,12.877,0.02,,,11.487,0.022,11.017,0.022,10.893,0.018,5278,563,187,3.548,0.765,0.918,-0.492,0.3,0.48,2.516,5.648,1.572,0.909,0.174,0.043,0.04,0.579,0.04,680.9,1006,351.4,0.509,0.146,0.146
210476829,03 59 07.563,+15 00 53.61,1,13.48,,,526-007414,03590756+1500538,,STAR,gri,rpm,-10.1,2.5,-35.6,2.7,,,14.786,0.05,13.808,0.01,,,14.279,0.03,13.5,0.01,13.137,0.04,,,11.872,0.021,11.498,0.024,11.386,0.018,5818,208,174,4.423,0.065,0.208,-0.267,0.15,0.18,0.965,0.346,0.075,0.936,0.068,0.081,0.969,0.291,0.528,380.3,141.7,35.85,0.487,0.082,0.082
210476837,04 11 34.515,+15 00 54.07,1,15.217,,,526-007911,04113451+1500541,6485-301-3-0136-0169,STAR,JHK,rpm,-21.9,5.8,-6.2,5.8,,,,,,,,,,,,,,,,,12.966,0.027,12.328,0.032,12.108,0.024,3873,605,139,4.891,0.085,0.17,-0.081,0.2,0.2,0.383,0.183,0.088,0.43,0.215,0.108,7.275,3.863,3.895,157.9,125.7,40.08,0.189,0.122,0.087
210476850,04 16 37.645,+15 00 54.91,1,12.104,,,526-008101,04163764+1500548,,STAR,gri,rpm,-5.1,1.8,15.5,2.2,,,13.532,0.02,12.469,0.04,,,12.987,0.02,12.104,0.04,11.726,0.02,,,10.425,0.024,10.03,0.023,9.908,0.02,6018,147,661,4.018,0.07,0.266,-0.132,0.24,0.12,1.738,0.991,0.185,1.116,0.197,0.072,0.215,0.072,0.137,337.2,264.1,10.12,0.679,0.005,0.273
210476863,03 31 54.511,+15 00 55.72,1,16.913,,,526-006329,03315451+1500555,4334-301-5-0068-0117,STAR,BV,rpm,3.1,4.3,9.1,4.3,,,17.953,0.23,17.112,0.105,,,,,,,,,,,14.138,0.025,13.415,0.028,13.267,0.037,4302,203,244,4.724,0.084,0.06,-0.058,0.15,0.21,0.563,0.07,0.085,0.631,0.072,0.101,3.494,1.487,0.916,438.8,76.74,88.64,0.318,0.148,0.148
210476968,04 00 23.431,+15 01 01.83,1,12.799,,,526-007469,04002341+1501017,,STAR,gri,rpm,-5,1.6,-4.7,2.4,,,13.85,0.03,13.035,0.01,,,13.438,0.03,12.804,0.01,12.525,0.05,,,11.545,0.024,11.221,0.023,11.107,0.02,6187,255,204,4.031,0.246,0.287,-0.073,0.12,0.12,1.733,0.783,0.539,1.283,0.246,0.205,0.208,0.285,0.134,614.8,320.9,181.6,0.439,0.115,0.096
210476976,03 33 01.675,+15 01 02.53,1,12.284,,,526-006375,03330167+1501025,,STAR,gri,rpm,5.5,1.3,-19.8,1.7,,,13.35,0.03,12.446,0.12,,,12.941,0.02,12.188,0.13,12.003,0.1,,,11.027,0.021,10.662,0.022,10.59,0.017,5868,288,288,4.307,0.155,0.31,-0.103,0.2,0.28,1.113,0.582,0.194,1.041,0.128,0.107,0.663,0.516,0.453,321.9,143.4,66.2,0.328,0.118,0.165
