EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
201486272,10 54 10.537,+00 18 56.30,1,13.758,,,452-049260,10541053+0018562,,STAR,gri,-19.7,2.1,-21.4,5.5,,,15.526,0.03,14.251,0.01,,,14.941,0.01,13.705,0.01,13.251,0.05,,,11.92,0.027,11.297,0.027,11.132,0.025,4090,4.83,-0.185,0.449,0.506,5.528,123.6,0.021
201486278,10 53 40.862,+00 18 56.54,1,10.817,,255-407-1,452-049250,10534086+0018565,,STAR,gri,0.7,1.5,-18.2,1.5,,,11.47,0.064,10.953,0.061,,,11.079,0.01,10.752,0.04,10.705,0.06,,,9.984,0.024,9.778,0.023,9.722,0.024,6412,4.131,-0.029,1.558,1.32,0.308,318.4,0.031
201486420,10 52 46.557,+00 19 04.95,1,17.098,,,,10524655+0019049,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.629,0.09,14.996,0.113,14.527,0.128,3774,4.949,-0.21,0.312,0.328,9.437,451,0.032
201486575,10 53 22.280,+00 19 12.74,1,17.838,,,,10532228+0019127,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.317,0.131,15.58,0.135,,,,,,,,,,
201486607,10 53 04.434,+00 19 14.32,1,11.465,,255-395-1,452-049234,10530443+0019143,,STAR,gri,3.1,1.4,-29.4,1.4,,,12.465,0.189,11.941,0.162,,,12.27,0.01,11.454,0.01,11.12,0.01,,,9.894,0.026,9.308,0.023,9.153,0.019,4754,2.528,-0.557,8.494,0.952,0.001,1134,0.042
201486634,10 52 08.111,+00 19 15.99,1,17.313,,,,10520811+0019159,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.83,0.116,15.148,0.113,14.616,0.124,3698,4.973,-0.165,0.274,0.296,10.83,426.2,0.031
201486749,10 51 26.475,+00 19 21.55,1,15.642,,,452-049186,10512646+0019214,,STAR,gri,-38.8,2.9,-31.1,3,,,17.966,0.15,16.503,0.08,,,17.279,0.04,15.776,0.1,14.94,0.2,,,13.288,0.027,12.636,0.027,12.41,0.021,3709,4.96,-0.029,0.309,0.337,10.45,141.5,0.023
201487449,10 50 06.171,+00 19 59.59,1,15.753,,,452-049159,10500617+0019597,,EXTENDED,gri,2,6.1,-3.3,6,,,17.207,0.05,16.117,0.02,,,16.702,0.02,15.648,0.11,15.346,0.06,,,14.096,0.057,13.403,0.054,13.011,0.056,,,,,,,,
201487703,10 53 51.350,+00 20 14.35,1,16.208,,,,10535135+0020143,,STAR,J,,,,,,,,,,,,,,,,,,,,,14.803,0.082,14.02,0.095,13.599,0.083,3842,4.898,-0.136,0.36,0.392,7.621,344.8,0.031
201487985,10 53 48.839,+00 20 30.76,1,17.026,,,,10534883+0020307,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.562,0.068,14.927,0.074,14.343,0.092,3578,5.04,-0.085,0.238,0.24,14.82,294,0.029
201488120,10 54 34.723,+00 20 37.37,1,17.421,,,,10543472+0020373,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.931,0.13,15.371,0.136,14.924,0.165,3781,4.936,-0.26,0.325,0.344,9.746,516.3,0.032
201488313,10 50 18.776,+00 20 49.53,1,18.458,,,,10501877+0020495,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.889,0.176,15.794,0.161,,,,,,,,,,
201488367,10 51 45.545,+00 20 52.98,1,17.276,,,,10514554+0020529,,STAR,J,,,,,,,,,,,,,,,,,,,,,15.795,0.09,15.055,0.104,14.392,0.096,3613,5.013,-0.125,0.253,0.248,14.7,342.6,0.031
201488436,10 52 34.596,+00 20 57.00,1,14.566,,,452-049218,10523459+0020570,,STAR,gri,-1.9,4.7,6,2.8,,,15.552,0.05,14.735,0.01,,,15.1,0.01,14.492,0.03,14.337,0.05,,,13.32,0.024,12.915,0.027,12.773,0.027,5372,4.518,-0.224,0.847,0.882,1.384,672,0.034
201488621,10 50 04.697,+00 21 06.25,1,18.051,,,,10500469+0021062,,STAR,J,,,,,,,,,,,,,,,,,,,,,16.512,0.154,15.993,0.164,,,,,,,,,,
