EPIC,KepMag,Kmag,Teff,Radius,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,float,float,integer,float,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201470818,11.817,10.53,5977,1.102,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201472021,17.9,15.191,3952,0.387,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201472680,17.513,14.754,3698,0.271,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201472758,12.152,10.75,6022,1.537,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201472947,12.221,10.983,6254,1.412,1.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201473198,16.76,14.214,3840,0.324,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201473477,18.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201473682,12.577,10.576,5027,3.718,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201473910,17.857,14.83,3674,0.263,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474483,16.18,13.597,3651,0.283,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474517,16.708,13.573,3749,0.308,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474599,14.747,12.616,4945,0.779,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474731,13.764,12.056,5370,0.908,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474765,17.343,14.666,3702,0.283,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474835,17.376,14.748,3860,0.331,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201474842,17.699,15.169,3849,0.305,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201475122,13.239,11.283,4937,9.578,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201475287,11.823,10.448,6097,1.31,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201475373,16.238,13.653,3745,0.302,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201475652,18.161,15.071,3745,0.267,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201475710,9.582,8.334,5658,0.987,0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201475825,13.139,11.096,4985,6.183,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201476622,18.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201476686,15,12.931,5018,0.705,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201477349,15.624,12.494,3715,0.366,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201477782,16.425,13.72,3829,0.338,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201479048,11.196,9.245,4914,3.625,1.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201479798,15.024,11.009,3124,0.156,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201479811,16.932,14.191,3618,0.262,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201479850,17.396,14.635,3926,0.345,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201479880,12.635,11.418,6247,1.263,1.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201480723,18.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201480950,13.73,11.386,4801,0.694,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201481016,13.013,11.708,5070,3,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201481460,19.089,15.208,3826,0.326,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201481531,10.137,9.082,6311,1.568,1.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201481980,12.935,11.259,5550,1.009,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201481981,13.505,11.495,5047,0.794,0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482014,13.412,11.589,5229,1.723,0.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482117,17.14,14.423,3739,0.281,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482308,13.076,11.262,5290,0.814,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482439,15.845,13.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482468,17.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482796,17.496,14.766,3769,0.288,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482947,16.953,14.448,3637,0.247,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201482954,16.615,13.969,3510,0.221,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201483093,18.354,14.836,3515,0.215,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201483219,17.529,14.8,3620,0.256,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201483299,16.512,15.146,6089,1.06,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201483821,15.08,13.234,5008,3.712,0.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201483887,15.539,12.318,3739,0.319,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484056,17.292,14.616,3612,0.251,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484105,11.12,9.878,6243,1.289,1.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484619,18.791,15.339,3925,0.342,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484637,17.246,14.596,3612,0.254,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484692,14.497,11.944,4302,0.545,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484892,10.786,9.545,6143,1.28,1.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484912,18.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484971,18.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201484990,16.697,13.293,3847,0.353,0.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201485129,15.186,13.539,5443,0.661,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201485699,18.225,14.247,3834,0.346,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201485726,15.195,12.228,3938,0.427,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486272,13.758,11.132,4090,0.449,0.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486278,10.817,9.722,6412,1.558,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486420,17.098,14.527,3774,0.312,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486575,17.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486607,11.465,9.153,4754,8.494,0.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486634,17.313,14.616,3698,0.274,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201486749,15.642,12.41,3709,0.309,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201487449,15.753,13.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201487703,16.208,13.599,3842,0.36,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201487985,17.026,14.343,3578,0.238,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488120,17.421,14.924,3781,0.325,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488313,18.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488367,17.276,14.392,3613,0.253,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488436,14.566,12.773,5372,0.847,0.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488621,18.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488786,9.201,5.89,4545,15.116,1.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201488792,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489183,17.165,14.481,3517,0.222,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489217,16.291,13.783,3725,0.298,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489526,11.38,9.961,5897,0.933,0.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489732,12.116,10.669,5727,0.827,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489850,16.464,13.625,4175,0.509,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489882,15.694,12.662,3616,0.268,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201489888,18.313,14.868,3925,0.345,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201490042,13.81,11.716,4868,0.714,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201490227,17.981,15.172,3790,0.312,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
