EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
248858944,10 30 58.516,+12 07 59.11,1,12.064,,,511-050377,10305850+1207591,,STAR,gri,1.7,8,6.8,5.4,,,13.163,0.05,12.296,0.02,,,12.703,0.09,12.045,0.03,11.79,0.02,,,10.664,0.026,10.299,0.026,10.091,0.026,5226,2.821,-0.74,5.622,0.916,0.005,1189,0.037
248858951,10 52 41.221,+12 07 59.80,1,17.914,,,,10524122+1207598,3538-301-5-0302-0212,EXTENDED,gri,-5,3,2,3,,,,,,,21.042,0.169,19.251,0.018,17.874,0.009,17.341,0.01,17.007,0.022,16.193,0.076,15.353,0.089,15.037,0.11,,,,,,,,
248858966,10 43 51.960,+12 08 00.99,1,13.729,,,511-050691,10435197+1208010,,STAR,gri,-4.4,2.7,-37.8,3,,,15.422,0.08,14.28,0.04,,,14.884,0.14,13.82,0.06,13.234,0.14,,,11.822,0.024,11.176,0.024,10.98,0.022,4021,4.816,-0.047,0.459,0.521,4.949,129.3,0.022
248858969,10 46 34.913,+12 08 01.49,1,15.739,,,511-050757,10463490+1208013,3836-301-5-0089-0005,STAR,gri,-47.2,2.8,-3.7,2.9,,,17.097,0.08,16.097,0.05,,,16.611,0.07,15.769,0.02,15.365,0.12,,,14.254,0.032,13.641,0.033,13.607,0.047,4648,4.727,-0.713,0.548,0.588,3.436,532.9,0.028
248858981,10 42 11.399,+12 08 03.21,1,13.218,,,511-050648,10421139+1208032,,STAR,gri,2.6,1.7,-10.5,2.2,,,14.389,0.04,13.469,0.04,,,13.935,0.06,13.178,0.04,12.911,0.02,,,11.808,0.023,11.368,0.021,11.27,0.018,5046,4.597,-0.089,0.749,0.816,1.897,264.4,0.03
248858997,10 41 53.534,+12 08 05.19,1,10.717,,842-186-1,511-050643,10415352+1208052,,STAR,gri,0,1.7,-27.6,1.7,,,11.34,0.069,10.843,0.067,,,11.06,0.08,10.696,0.05,10.57,0.04,,,9.844,0.027,9.531,0.026,9.474,0.023,5999,4.135,-0.115,1.357,1.095,0.372,247.9,0.029
248859016,11 00 46.523,+12 08 06.43,1,14.435,,,511-051072,11004653+1208064,3836-301-4-0112-0007,STAR,gri,-31.9,2.6,-4.9,2.8,,,15.542,0.06,14.673,0.01,,,15.078,0.07,14.367,0.03,14.16,0.01,,,13.135,0.021,12.672,0.023,12.596,0.026,5165,4.572,-0.088,0.779,0.829,1.729,527.1,0.031
248859027,10 31 31.287,+12 08 07.21,1,17.456,,,,10313128+1208072,3538-301-6-0268-0054,EXTENDED,gri,2,3,1,3,,,,,,,19.91,0.075,18.313,0.01,17.511,0.008,17.089,0.009,16.843,0.023,16.351,0.105,,,,,,,,,,,,
248859029,10 34 48.307,+12 08 07.30,1,12.667,,842-121-1,511-050469,10344831+1208069,,STAR,gri,-1,3.2,-21.6,3.6,,,13.379,0.338,12.75,0.241,,,13.203,0.1,12.613,0.04,12.438,0.08,,,11.248,0.024,10.772,0.03,10.667,0.019,5109,3.493,-0.534,2.806,0.899,0.04,776.9,0.029
248859030,10 30 32.818,+12 08 07.56,1,17.333,,,,10303281+1208075,3631-301-1-0273-0201,EXTENDED,gri,1,3,0,3,,,,,,,19.912,0.041,18.205,0.007,17.368,0.005,16.96,0.005,16.667,0.011,15.817,0.068,14.92,0.081,14.664,0.081,,,,,,,,
248859071,10 59 14.210,+12 08 11.20,1,17.117,,,,10591421+1208111,3836-301-4-0109-0103,STAR,gri,117,3,-159,3,,,,,,,21.443,0.135,18.925,0.009,17.311,0.005,16.342,0.005,15.781,0.006,14.492,0.029,13.958,0.038,13.781,0.04,3483,5.122,-0.222,0.186,0.168,25.02,101.4,0.019
248859100,10 30 47.248,+12 08 13.62,1,16.977,,,,10304724+1208136,3631-301-1-0274-0070,STAR,gri,-4,3,-9,3,,,,,,,20.859,0.054,18.14,0.006,16.929,0.005,16.478,0.005,16.241,0.007,15.149,0.036,14.476,0.05,14.348,0.068,4184,4.777,-0.153,0.502,0.57,4.188,646.5,0.033
248859191,10 53 32.503,+12 08 20.85,1,18.785,,,,,3538-301-5-0303-0144,STAR,gri,4,3,0,3,,,,,,,19.49,0.029,18.906,0.009,18.745,0.011,18.695,0.016,18.648,0.043,,,,,,,,,,,,,,
248859214,10 33 02.851,+12 08 22.88,1,17.671,,,,10330285+1208228,3538-301-6-0270-0142,STAR,gri,-2,3,-38,3,,,,,,,19.846,0.034,18.33,0.007,17.652,0.006,17.388,0.006,17.243,0.014,16.092,0.09,16.083,0.19,,,,,,,,,,
248859227,10 38 10.015,+12 08 23.76,1,16.253,,,,10381001+1208237,3836-301-5-0075-0074,EXTENDED,gri,3,3,-1,3,,,,,,,19.019,0.047,17.217,0.006,16.283,0.004,15.84,0.004,15.532,0.008,15.342,0.07,14.506,0.073,14.121,0.092,,,,,,,,
