,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
32,32,32,32,32,32,246393235,23 25 07.497,-01 11 50.37,1,17.152,,,,23250749-0111503,,STAR,JHK,rpm,-14,0,4,3,,,,,,,,,,,,,,,,,15.603,0.059,14.947,0.072,14.975,0.135,4118,438,312,4.808,0.126,0.105,-0.226,0.25,0.35,0.46,0.106,0.116,0.522,0.105,0.147,4.971,3.549,1.798,695.1,268.8,225.6,0.037,0.013,0.008,AAB-222-111-000-0-0,28,0888-0675916
33,33,33,33,33,33,246393241,23 13 20.506,-01 11 49.64,1,15.358,,,445-136381,23132050-0111496,,STAR,gri,rpm,-5.2,2.9,-7.4,3.1,,,16.237,0.15,15.517,0.28,,,15.949,0.03,15.342,0.29,15.104,0.096,,,14.249,0.031,13.808,0.038,13.69,0.054,5223,252,210,4.558,0.05,0.87,-0.382,0.35,0.49,0.783,1.479,0.08,0.821,0.078,0.078,1.634,0.4,1.561,897.1,1666,115.8,0.037,0.011,0.007,AAA-222-111-000-0-0,57.9,
34,34,34,34,34,34,246393244,23 04 07.430,-01 11 49.08,1,14.296,,,445-136112,23040741-0111488,,STAR,JHK,rpm,-57.3,4.1,-83.7,4.2,,,,,,,,,,,,,,,,,12.242,0.022,11.707,0.025,11.443,0.021,3504,104,104,5.05,0.035,0.049,0.024,0.08,0.12,0.231,0.045,0.026,0.225,0.063,0.037,17.73,3.487,4.585,63.88,16.17,12.9,0.015,0.006,0.003,AAA-222-111-000-0-0,98.8,
35,35,35,35,35,35,246393268,23 14 33.590,-01 11 46.14,1,14.679,,,445-136411,23143358-0111462,4145-301-1-0034-0106,STAR,gri,rpm,0.6,2.9,-2.8,3.2,,,16.074,0.05,14.838,0.043,,,15.612,0.02,14.665,0.15,14.279,0.13,,,13.248,0.026,12.701,0.03,12.582,0.03,4798,114,143,3.265,1.368,1.368,-0.314,0.32,0.88,3.119,10.496,2.587,0.835,0.144,0.096,0.03,1.804,0.03,1711,8288,1318,0.038,0.013,0.009,AAA-222-111-000-0-0,33.2,
36,36,36,36,36,36,246393306,23 33 16.803,-01 11 41.50,1,16.884,,,,23331680-0111415,4145-301-1-0065-0263,EXTENDED,gri,,-2,3,-3,3,,,,,,,19.811,0.063,17.93,0.008,16.9,0.005,16.436,0.005,16.033,0.011,15.67,0.085,14.799,0.087,14.397,0.086,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,35.7,
37,37,37,37,37,37,246393447,23 29 03.419,-01 11 24.49,1,18.14,,,,23290341-0111244,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.466,0.06,14.703,0.099,14.35,0.071,3893,339,339,4.914,0.135,0.135,-0.183,0.25,0.3,0.357,0.136,0.129,0.405,0.159,0.191,8.257,9.396,4.395,491.3,266.1,223.3,0.036,0.013,0.008,AAA-222-111-000-0-0,28.2,0888-0676485
38,38,38,38,38,38,246393449,23 01 48.734,-01 11 24.39,1,14.707,,,445-136028,23014873-0111243,,STAR,gri,rpm,34.2,4,6.9,4.5,,,15.941,0.05,14.789,0.05,,,15.465,0.04,14.52,0.04,14.382,0.28,,,13.256,0.026,12.808,0.031,12.692,0.033,4817,97,77,4.597,0.051,0.02,-0.014,0.16,0.32,0.743,0.015,0.088,0.798,0.016,0.103,1.936,0.524,0.116,488,14.83,67.83,0.035,0.009,0.005,AAA-222-111-000-0-0,28.6,
39,39,39,39,39,39,246393474,23 23 39.971,-01 11 21.39,1,10.619,,5244-714-1,445-136683,23233996-0111215,,STAR,gri,plx,116.7,2.2,23.1,2.2,,,12.138,0.223,11.454,0.156,,,11.725,0.01,10.425,0.04,10.145,0.01,,,9.086,0.021,8.524,0.053,8.401,0.023,4633,112,94,4.658,0.02,0.02,-0.108,0.15,0.27,0.657,0.023,0.031,0.717,0.034,0.04,2.541,0.213,0.197,58.77,2.813,2.813,0.015,0.004,0.003,AAA-212-111-000-0-0,31.5,
40,40,40,40,40,40,246393483,23 02 56.268,-01 11 20.81,1,13.555,,,445-136066,23025626-0111206,,STAR,gri,rpm,2,2.4,-12.7,2.9,,,14.353,0.02,13.534,0.01,,,14.051,0.01,13.361,0.043,13.343,0.04,,,12.626,0.03,12.356,0.027,12.301,0.026,5565,133,89,4.449,0.045,0.27,0.109,0.1,0.16,0.971,0.291,0.077,0.99,0.091,0.057,1.041,0.196,0.671,579.4,437.3,50.49,0.041,0.01,0.011,AAA-222-111-000-0-0,86.2,
41,41,41,41,41,41,246393488,23 25 00.183,-01 11 20.25,1,15.521,,,445-136708,23250020-0111203,4145-301-1-0052-0128,STAR,gri,rpm,-0.9,4.2,-11.3,4.5,,,17.123,0.02,15.835,0.07,,,16.682,0.01,15.401,0.09,15.023,0.05,,,14.007,0.027,13.445,0.034,13.381,0.04,4253,206,206,4.742,0.112,0.07,-0.136,0.2,0.24,0.537,0.08,0.118,0.604,0.094,0.125,3.536,2.4,0.884,421.2,89.87,123.8,0.036,0.011,0.008,AAA-222-111-000-0-0,32.3,
42,42,42,42,42,42,246393500,23 11 04.669,-01 11 19.04,1,14.852,,,445-136313,23110468-0111190,,STAR,gri,rpm,32.9,3.2,0.7,3.2,,,16.354,0.02,15.191,0.02,,,15.886,0.04,14.745,0.05,14.408,0.05,,,13.409,0.024,12.843,0.026,12.776,0.034,4458,107,107,4.685,0.072,0.04,-0.142,0.2,0.28,0.604,0.061,0.082,0.668,0.05,0.091,2.909,1.015,0.478,380.1,45.59,65.39,0.035,0.012,0.006,AAA-222-111-000-0-0,30.5,
43,43,43,43,43,43,246393513,23 02 30.227,-01 11 17.64,1,12.549,,,445-136048,23023022-0111173,,STAR,gri,rpm,-9.7,2.1,-49.8,2.6,,,13.749,0.01,12.667,0.02,,,13.325,0.01,12.41,0.01,12.216,0.06,,,11.348,0.026,10.848,0.022,10.753,0.023,4761,96,57,4.611,0.024,0.02,-0.001,0.15,0.15,0.723,0.035,0.039,0.781,0.025,0.038,2.052,0.24,0.181,192.3,18.94,17.24,0.031,0.014,0.007,AAA-222-111-000-0-0,28.2,
44,44,44,44,44,44,246393535,23 25 38.121,-01 11 14.89,1,15.203,,,445-136728,23253813-0111148,4145-301-1-0053-0007,STAR,gri,rpm,-3,4,-7.6,4.4,,,16.491,0.01,15.317,0.1,,,16.061,0.01,15.034,0.04,14.836,0.02,,,13.816,0.025,13.302,0.033,13.197,0.035,4671,56,56,4.623,0.028,0.02,0.059,0.12,0.15,0.708,0.024,0.038,0.769,0.024,0.034,2.124,0.281,0.142,578.7,23.1,39.37,0.036,0.016,0.006,AAA-222-111-000-0-0,95,
45,45,45,45,45,45,246393537,23 02 43.460,-01 11 14.83,1,15.011,,,445-136058,23024346-0111147,,STAR,gri,rpm,-0.4,3.9,-4.6,4.4,,,16.127,0.03,15.084,0.04,,,15.731,0.01,14.76,0.01,14.703,0.07,,,13.65,0.024,13.176,0.031,13.109,0.036,4763,76,76,4.601,0.036,0.02,0.094,0.18,0.15,0.748,0.015,0.059,0.802,0.029,0.053,1.954,0.321,0.13,577.5,22.78,59.95,0.038,0.011,0.007,AAA-222-111-000-0-0,66,
46,46,46,46,46,46,246393544,23 17 07.377,-01 11 13.84,1,18.18,,,,23170737-0111138,,STAR,J,,-12,5,-24,1,,,,,,,,,,,,,,,,,16.628,0.134,16.003,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,BCU-220-110-000-0-0,46.4,0888-0674594
47,47,47,47,47,47,246393548,23 14 33.835,-01 11 13.15,1,15.18,,,445-136412,23143382-0111132,,STAR,gri,rpm,-12.7,3,-13.9,3.2,,,16.367,0.06,15.268,0.049,,,16.014,0.051,15.022,0.056,14.823,0.088,,,13.744,0.026,13.219,0.031,13.059,0.04,4748,116,145,4.63,0.042,0.042,-0.078,0.16,0.24,0.681,0.065,0.059,0.738,0.057,0.057,2.236,0.391,0.333,541.1,61.84,55.5,0.038,0.014,0.008,AAA-222-111-000-0-0,33.2,
48,48,48,48,48,48,246393549,23 09 54.899,-01 11 13.05,1,19.545,,,,,4145-301-1-0026-0189,STAR,gri,,-5,5,6,5,,,,,,,19.889,0.034,19.633,0.013,19.516,0.014,19.264,0.016,19.209,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
