,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
711,711,711,251578582,13 46 29.987,-01 47 16.52,1,11.275,,5/1/67,442-056868,13462999-0147164,,STAR,gri,lam,7.9,1.6,-35.2,1.6,,,11.842,0.15,11.197,0.121,,,11.442,0.03,11.219,0.05,11.201,0.11,,,10.485,0.024,10.33,0.023,10.291,0.023,6733,164,164,4.173,0.08,0.112,-0.029,0.1,0.1,1.586,0.271,0.169,1.393,0.102,0.085,0.332,0.111,0.11,428.4,68.93,50.08,0.04,0.023,0.013,AAA-222-111-000-0-0,46.8,
712,712,712,251578589,13 45 06.678,-01 47 16.23,1,13.723,,,442-056828,13450667-0147161,,STAR,gri,lam,-24.5,2,-7.1,2.4,,,14.547,0.07,13.853,0.03,,,14.132,0.03,13.731,0.07,13.548,0.15,,,12.612,0.024,12.316,0.029,12.21,0.026,5801,138,138,4.432,0.055,0.099,-0.254,0.15,0.12,0.956,0.14,0.078,0.928,0.062,0.062,0.988,0.279,0.308,577.5,106.7,58.04,0.041,0.022,0.012,AAA-222-111-000-0-0,60.1,
713,713,713,251578595,13 29 27.765,-01 47 15.67,1,14.185,,,442-056418,13292776-0147155,,STAR,gri,rpm,-7.5,3,7.1,3.5,,,15.236,0.03,14.356,0.03,,,14.802,0.05,14.079,0.02,13.921,0.06,,,12.843,0.028,12.41,0.026,12.302,0.026,5205,160,128,4.508,0.072,1.116,-0.198,0.25,0.55,0.861,2.199,0.095,0.884,0.081,0.081,1.328,0.497,1.298,529.3,1266,76.71,0.046,0.024,0.017,AAA-222-111-000-0-0,20.8,
714,714,714,251578602,13 41 02.382,-01 47 15.23,1,10.987,,6/1/67,442-056728,13410237-0147151,,STAR,gri,rav,-36.6,1.2,-46.1,1.2,,,11.618,0.101,10.998,0.095,,,11.432,0.03,10.877,0.01,10.796,0.1,,,9.781,0.023,9.421,0.025,9.36,0.023,5487,130,163,3.817,0.07,0.098,-0.015,0.12,0.12,2.25,0.348,0.254,1.224,0.128,0.11,0.105,0.034,0.03,345.6,51.39,38.72,0.038,0.022,0.012,AAA-222-111-000-0-0,70.8,
715,715,715,251578623,13 18 01.939,-01 47 12.73,1,14.242,,,442-056135,13180194-0147127,,STAR,gri,rpm,-70.4,2.9,-4.8,3.2,,,16.181,0.04,14.79,0.02,,,15.524,0.02,14.238,0.02,13.693,0.07,,,12.293,0.024,11.632,0.024,11.467,0.023,3977,95,47,4.849,0.03,0.042,-0.074,0.08,0.14,0.44,0.036,0.039,0.491,0.041,0.041,5.744,1.005,1.01,141.1,16.93,17.47,0.025,0.008,0.007,AAA-222-111-000-0-0,38.8,
716,716,716,251578633,13 23 05.125,-01 47 11.76,1,13.547,,,442-056265,13230513-0147118,,STAR,gri,rpm,-63.9,2.5,15.9,2.8,,,14.918,0.04,13.839,0.02,,,14.405,0.04,13.427,0.05,13.18,0.17,,,11.89,0.024,11.36,0.022,11.232,0.021,4768,77,116,4.622,0.042,0.035,-0.042,0.16,0.28,0.688,0.063,0.058,0.746,0.069,0.058,2.188,0.43,0.36,241,31.28,37.85,0.042,0.024,0.015,AAA-222-111-000-0-0,25.9,
717,717,717,251578640,13 38 01.529,-01 47 11.21,1,17.267,,,,13380152-0147112,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.787,0.098,15.073,0.107,14.287,0.132,3649,383,274,5.007,0.12,0.144,-0.112,0.2,0.28,0.265,0.128,0.086,0.259,0.177,0.111,12.97,12.32,7.152,380.3,256.7,153.2,0.04,0.022,0.014,AAB-222-111-000-0-0,64.6,0882-0270689
718,718,718,251578650,13 49 26.581,-01 47 10.41,1,17.281,,,,13492658-0147104,6166-301-5-0124-0215,STAR,gri,col,,,,,,,,,,,19.809,0.035,18.246,0.007,17.306,0.005,16.867,0.006,16.596,0.009,15.597,0.069,14.858,0.096,14.655,0.103,4493,73,73,4.803,0.08,3.76,-1.172,0.4,0.64,0.454,39.378,0.065,0.511,0.268,0.064,4.927,1.953,4.927,807.9,65740,155.7,0.043,0.025,0.014,AAA-222-111-000-0-0,31.9,0882-0272499
719,719,719,251578691,13 33 39.465,-01 47 07.56,1,13.96,,,442-056535,13333945-0147075,,STAR,gri,rpm,-39.7,2.1,-6.2,2.5,,,15.099,0.05,14.255,0.1,,,14.655,0.06,13.973,0.02,13.662,0.07,,,12.578,0.027,12.038,0.022,12.011,0.027,4978,119,79,4.618,0.028,0.024,-0.348,0.2,0.2,0.692,0.044,0.042,0.735,0.059,0.049,2.149,0.262,0.234,342.6,32.19,29.43,0.038,0.01,0.01,AAA-222-111-000-0-0,10.4,
720,720,720,251578729,13 17 25.981,-01 47 04.33,1,17.689,,,,13172598-0147043,2334-301-5-0023-0322,STAR,gri,,-10,3,-5,3,,,,,,,19.807,0.036,18.285,0.007,17.669,0.006,17.434,0.006,17.331,0.014,16.509,0.12,15.836,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,13.6,
721,721,721,251578730,13 20 18.822,-01 47 04.33,1,13.885,,,442-056199,13201882-0147042,,STAR,gri,rpm,-26.8,2.4,-3.7,2.7,,,14.784,0.02,13.989,0.04,,,14.34,0.02,13.806,0.09,13.69,0.18,,,12.582,0.024,12.219,0.026,12.121,0.022,5657,170,204,4.467,0.06,0.132,-0.205,0.2,0.32,0.9,0.165,0.118,0.905,0.078,0.094,1.135,0.344,0.43,530.5,120.4,83.12,0.043,0.022,0.016,AAA-222-111-000-0-0,66.8,
722,722,722,251578738,13 30 12.861,-01 47 03.94,1,18.001,,,,13301286-0147039,2333-301-5-0038-0264,EXTENDED,gri,,0,3,-7,3,,,,,,,20.881,0.134,19.026,0.014,18.059,0.009,17.561,0.009,17.165,0.021,16.424,0.118,15.488,0.102,15.012,0.139,,,,,,,,,,,,,,,,,,,,,,,,,BAB-222-111-000-0-0,24.3,
723,723,723,251578745,13 17 25.074,-01 47 03.44,1,16.617,,,,13172507-0147034,2334-301-5-0023-0313,STAR,gri,rpm,-53,3,18,3,,,,,,,20.778,0.069,18.305,0.007,16.842,0.005,15.894,0.004,15.377,0.005,14.137,0.032,13.5,0.029,13.231,0.037,3517,57,57,5.049,0.04,0.048,-0.051,0.08,0.1,0.234,0.033,0.035,0.221,0.047,0.039,16.98,4.896,3.8,147.5,24.99,25.26,0.028,0.017,0.007,AAA-222-111-000-0-0,13.6,
724,724,724,251578798,13 44 25.981,-01 46 59.36,1,17.743,,,,13442598-0146593,6174-301-2-0113-0257,STAR,gri,,-9,3,-8,3,,,,,,,20.621,0.064,18.553,0.008,17.713,0.006,17.396,0.006,17.192,0.012,16.362,0.118,15.529,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,BBD-222-111-000-0-0,33,
725,725,725,251578812,13 18 18.606,-01 46 57.90,1,17.026,,,,13181860-0146578,,STAR,JHK,rpm,-66,2,-34,12,,,,,,,,,,,,,,,,,14.644,0.033,14.084,0.046,13.743,0.067,3453,239,239,5.075,0.078,0.065,-0.065,0.2,0.24,0.213,0.053,0.05,0.201,0.077,0.055,19.92,10.65,6.94,164.4,56.36,48.99,0.03,0.014,0.01,AAA-222-212-c0c-0-0,4.2,0882-0267101
726,726,726,251578816,13 22 08.416,-01 46 57.77,1,17.899,,,,13220841-0146577,2333-301-5-0025-0130,STAR,gri,rpm,-5,3,-1,3,,,,,,,20.885,0.073,18.746,0.009,17.836,0.006,17.536,0.007,17.349,0.014,16.206,0.092,15.698,0.107,15.528,0.21,4677,95,76,4.687,0.077,0.055,-0.508,0.35,0.42,0.6,0.079,0.083,0.638,0.087,0.087,2.923,1.177,0.736,1427,241.9,206.8,0.043,0.025,0.014,ABC-222-111-000-0-0,48.6,
727,727,727,251578847,13 23 00.946,-01 46 55.29,1,18.542,,,,13230094-0146552,,STAR,JHK,rpm,8,3,6,1,,,,,,,,,,,,,,,,,15.702,0.071,14.853,0.072,14.534,0.092,4108,244,244,4.807,0.105,0.075,-0.121,0.2,0.24,0.469,0.081,0.105,0.525,0.082,0.115,4.927,2.936,1.626,736.3,192.8,204.6,0.043,0.025,0.014,AAA-222-111-000-0-0,16.1,0882-0267799
728,728,728,251578856,13 23 22.356,-01 46 54.69,1,17.848,,,,13232235-0146546,,STAR,JHK,rpm,14,4,-12,2,,,,,,,,,,,,,,,,,16.148,0.087,15.619,0.101,15.461,0.187,3933,796,332,4.908,0.12,0.216,-0.303,0.3,0.54,0.366,0.213,0.116,0.402,0.22,0.157,7.081,6.726,4.301,669,668.9,261.2,0.041,0.022,0.012,AAC-222-111-000-0-0,28,0882-0267872
