EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
210618092,04 30 11.514,+17 13 12.58,0,11.007,,1269-482-1,537-008998,04301151+1713125,,STAR,gri,,22.9,1.5,-25.8,1.4,,,11.862,0.15,11.096,0.102,,,11.628,0.03,10.96,0.02,10.74,0.03,,,9.637,0.023,9.251,0.022,9.165,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
210618108,04 30 23.016,+17 13 13.26,0,11.529,,1269-468-1,537-009010,04302302+1713132,,STAR,gri,,-4.6,1.9,-26.6,2.1,,,12.285,0.225,11.718,0.188,,,12.179,0.04,11.481,0.02,11.251,0.04,,,10.13,0.021,9.762,0.025,9.614,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
210618881,04 30 21.245,+17 13 52.86,0,17.626,,,,04302124+1713528,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,,15.178,0.038,14.559,0.044,14.251,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
210619609,04 27 16.639,+17 14 30.65,0,12.189,,,537-008794,04271663+1714305,,STAR,gri,,104.5,2.6,-30.7,2.3,,,14.517,0.03,13.064,0.01,,,13.832,0.03,12.494,0.04,11.485,0.03,,,9.714,0.019,9.067,0.028,8.826,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,
210619915,04 27 05.040,+17 14 46.92,0,12.547,,,537-008777,04270503+1714467,,STAR,gri,,-1.4,2.9,-6.4,3.3,,,15.579,0.04,13.779,0.07,,,14.656,0.04,13.122,0.11,11.642,0.05,,,9.209,0.019,8.227,0.024,7.938,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
210620840,04 30 41.058,+17 15 33.24,0,15.751,,,537-009024,04304105+1715333,,STAR,BV,,3.3,2.4,0.3,2.8,,,16.82,0.14,15.958,0.02,,,,,,,,,,,14.405,0.028,14.086,0.038,13.858,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,
210621117,04 31 43.255,+17 15 47.43,0,15.427,,,537-009092,04314323+1715475,,STAR,JHK,,29.7,4.9,-9.5,4.9,,,,,,,,,,,,,,,,,13.175,0.022,12.405,0.023,12.216,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
210621261,04 29 17.442,+17 15 55.00,0,14.945,,,537-008930,04291742+1715551,6003-301-1-0156-0433,STAR,gri,,,,,,,,17.62,0.09,16.095,0.05,,,16.763,0.06,15.511,0.03,14.166,0.1,,,12.072,0.027,11.453,0.03,11.238,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,
210621380,04 30 52.026,+17 16 01.06,0,12.305,,,537-009036,04305202+1716011,,STAR,gri,,4.1,1.2,-28.1,1.7,,,13.373,0.04,12.533,0.01,,,12.936,0.03,12.281,0.01,12.035,0.04,,,10.888,0.021,10.547,0.027,10.397,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
210621487,04 31 25.106,+17 16 05.58,0,15.402,,,537-009075,,,STAR,gri,,-19.9,4.7,-5.3,3.3,,,16.9,0.07,15.67,0.1,,,16.356,0.13,15.342,0.05,14.993,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210621605,04 29 03.641,+17 16 12.53,0,17.47,,,,04290364+1716125,6003-301-1-0156-0569,STAR,gri,,14,3,-47,3,,,,,,,22.101,0.179,19.746,0.015,18.171,0.007,16.494,0.005,15.605,0.005,14.047,0.035,13.43,0.034,13.118,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
210621681,04 31 17.944,+17 16 15.97,0,9.61,,1269-796-1,537-009062,04311793+1716160,,STAR,gri,,22.1,1,-23.1,0.9,,,10.016,0.03,9.466,0.025,,,10.428,0.14,9.508,0.04,9.26,0.01,,,8.435,0.024,8.164,0.021,8.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
210622617,04 31 20.658,+17 17 04.82,0,14.738,,,537-009067,04312065+1717047,,STAR,gri,,-10.7,2.3,-24.7,2.5,,,16.747,0.14,15.322,0.06,,,16.122,0.06,14.742,0.04,14.145,0.06,,,12.473,0.022,11.784,0.023,11.632,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,
210622671,04 28 48.297,+17 17 07.67,0,8.343,20899,1269-22-1,537-008896,04284827+1717079,,STAR,gri,,106.53,1,-30.62,0.72,21.51,0.86,8.409,0.018,7.807,0.013,,,9.873,0.07,8.663,0.04,7.688,0.05,,,6.696,0.024,6.462,0.026,6.404,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
210622868,04 30 53.767,+17 17 16.77,0,11.741,,,537-009038,04305377+1717166,,STAR,gri,,-18.6,2.1,-16.4,3.9,,,12.791,0.05,11.947,0.01,,,12.38,0.04,11.717,0.01,11.467,0.03,,,10.623,0.029,10.303,0.03,10.218,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
210624233,04 30 54.851,+17 18 24.30,0,12.788,,,537-009041,04305485+1718243,,STAR,gri,,25.3,1.4,-43.9,1.7,,,14.041,0.04,13.058,0.01,,,13.544,0.03,12.762,0.02,12.464,0.03,,,11.27,0.021,10.826,0.022,10.746,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,
210624389,04 27 38.921,+17 18 31.73,0,16.01,,,,04273892+1718317,6485-301-1-0165-0180,STAR,gri,,24,3,-34,3,,,,,,,20.927,0.082,18.454,0.007,16.932,0.005,14.962,0.004,13.874,0.005,12.119,0.023,11.546,0.025,11.278,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
210624644,04 27 39.331,+17 18 44.58,0,13.217,,,537-008822,04273931+1718446,6485-301-1-0165-0179,STAR,gri,,16.2,3.3,-33.4,3.7,,,15.58,0.1,14.113,0.09,,,14.905,0.05,13.532,0.07,12.493,0.04,,,10.645,0.024,9.969,0.027,9.741,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
210625769,04 30 41.847,+17 19 42.84,0,14.617,,,,04304184+1719428,,STAR,JHK,,,,,,,,,,,,,,,,,,,,,,12.287,0.021,11.714,0.027,11.404,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
