EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
248142294,04 51 35.394,+26 57 05.26,0,15.019,,,585-013396,04513541+2657054,,STAR,JHK,,14.9,2.6,-2,2.8,,,,,,,,,,,,,,,,,12.562,0.021,11.854,0.022,11.631,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,14.5,
248142385,04 34 47.548,+26 57 08.40,0,12.574,,,,04344754+2657083,,STAR,J,,-6,6,10,4,,,,,,,,,,,,,,,,,10.934,0.022,9.515,0.02,9.025,0.018,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,41.6,1169-0060243
248142399,04 56 42.403,+26 57 08.86,0,18.48,,,,04564240+2657088,,STAR,JHK,,-24,3,-16,1,,,,,,,,,,,,,,,,,15.898,0.068,15.017,0.067,14.813,0.081,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,18.6,1169-0068832
248142475,04 35 56.671,+26 57 11.34,0,14.188,,,585-012305,04355666+2657106,,STAR,gri,,4.5,6.5,9.8,6.5,,,17.078,0.16,15.135,0.01,,,16.204,0.11,14.303,0.09,13.324,0.05,,,10.979,0.022,9.995,0.028,9.735,0.022,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.2,1169-0060501
248142500,04 45 02.953,+26 57 12.16,1,15.121,,,,04450295+2657121,,STAR,JHK,rpm,54,3,-50,7,,,,,,,,,,,,,,,,,12.959,0.022,12.329,0.022,12.128,0.021,3805,155,155,4.958,0.045,0.063,-0.175,0.2,0.32,0.324,0.062,0.052,0.354,0.075,0.062,10.06,2.901,2.638,127.5,26.14,25.57,0.205,0.076,0.076,AAA-222-111-000-0-0,9.1,1169-0063985
248142671,04 33 54.156,+26 57 17.55,0,15.785,,,585-012282,04335417+2657172,,STAR,JHK,,-4.3,4,5.7,4.1,,,,,,,,,,,,,,,,,13.241,0.023,12.537,0.025,12.247,0.021,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,17.2,
248142672,04 56 05.386,+26 57 17.59,0,17.152,,,,04560538+2657175,,STAR,JHK,,0,7,-6,1,,,,,,,,,,,,,,,,,15.905,0.073,15.663,0.116,15.459,0.146,,,,,,,,,,,,,,,,,,,,,,,,,ABB-222-111-000-0-0,11.1,1169-0068590
248142810,04 54 26.599,+26 57 22.52,0,14.523,,,585-013614,04542659+2657226,,STAR,JHK,,4.4,2.6,0,2.8,,,,,,,,,,,,,,,,,12.054,0.019,11.212,0.018,11.009,0.02,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,37.4,
248142864,04 42 40.066,+26 57 24.27,0,15.959,,,585-012686,04424006+2657240,,STAR,BV,,1.6,4.1,7.3,4.3,,,17.375,0.14,16.182,0.07,,,,,,,,,,,14.213,0.026,13.821,0.033,13.646,0.041,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,13.6,
248143047,04 38 47.148,+26 57 29.33,0,14.838,,,585-012383,04384712+2657291,,STAR,gri,,12,4,-2.9,4.5,,,16.929,0.1,15.47,0.08,,,16.32,0.09,14.854,0.07,14.203,0.01,,,12.864,0.025,12.247,0.028,12.053,0.023,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,8.4,
