EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
203013818,16 44 01.936,-27 33 32.00,1,12.368,,,313-093293,16440193-2733319,STAR,gri,rpm,-20.6,1.4,-22.3,1.9,,,13.861,0.044,12.689,0.031,13.279,0.032,12.288,0.04,11.977,0.06,10.588,0.024,10.108,0.024,9.961,0.024,5508,427,569,4.026,0.444,0.37,0.061,0.12,0.27,1.716,0.858,0.819,1.071,0.235,0.168,0.227,0.797,0.162,333.5,164.4,157.9,0.6,0.32,0.32,AAA-222-111-000-0-0,,
203013984,16 08 42.569,-27 33 29.92,1,13.611,,,313-087332,16084257-2733299,STAR,JHK,rpm,-20.4,2.6,-25.5,5.2,,,,,,,,,,,,,11.297,0.023,10.675,0.022,10.419,0.021,5325,378,1436,3.858,0.962,0.185,-0.122,0.32,0.2,2.034,0.521,1.602,1.112,0.068,0.63,0.122,5.01,0.058,449.9,84.06,364,1.391,0.014,1.322,AAA-222-111-000-0-0,,
203013999,16 27 40.843,-27 33 29.67,1,13.353,,,313-089551,16274083-2733296,STAR,J,rpm,2.2,2.9,-4.9,4.4,,,,,,,,,,,,,11.894,0.022,10.912,0.023,10.662,0.024,4070,194,194,1.167,0.24,0.28,-0.539,0.25,0.4,39.621,16.681,8.794,0.957,0.051,0.062,1.37E-05,1.86E-05,8.66E-06,8468,3526,2185,0.989,0.301,0.301,AAA-222-111-000-0-0,,
203014014,16 40 58.687,-27 33 29.48,1,12.019,,,313-092363,16405868-2733294,STAR,BV,rpm,-13,1.4,-5.3,1.4,,,13.118,0.041,12.234,0.03,12.661,0.031,,,,,10.41,0.024,10.086,0.027,9.915,0.019,6708,1154,641,4.041,0.114,0.209,0.073,0.06,0.1,2.002,0.589,0.337,1.729,0.129,0.466,0.199,0.08,0.102,407.8,141.8,69.39,0.862,0.602,0.516,AAA-222-111-000-0-0,,
203014080,16 12 46.703,-27 33 28.68,1,10.397,,6801-514-1,313-087991,16124670-2733286,STAR,gri,rpm,-15.3,3,-26,2.9,,,12.31,0.24,11.103,0.092,12.094,0.7,10.273,0.05,9.67,0.01,7.948,0.024,7.321,0.057,7.095,0.02,4762,115,144,2.438,0.284,0.426,-0.231,0.36,0.9,10.856,4.778,1.659,1.14,0.851,0.304,8.21E-04,8.79E-04,6.30E-04,474.7,239.8,46.13,0.882,0.076,0.194,AAA-111-111-000-0-0,,
203014091,16 26 34.282,-27 33 28.58,1,13.286,,,313-089391,16263428-2733285,STAR,JHK,rpm,-12.5,3.4,-28.8,15,,,,,,,,,,,,,10.899,0.023,10.169,0.022,9.996,0.024,4491,185,185,2.158,0.34,0.884,-0.377,0.45,0.72,13.645,18.49,4.096,0.994,0.326,0.116,3.07E-04,9.31E-04,2.88E-04,2391,2959,733,0.502,0.251,0.209,AAA-222-111-000-0-0,,
203014553,16 22 47.001,-27 33 22.18,1,14.457,,,313-088872,16224699-2733220,STAR,JHK,rpm,4.5,2.6,-5.8,2.2,,,,,,,,,,,,,12.167,0.026,11.364,0.023,11.192,0.023,4250,153,153,1.427,0.287,0.205,-0.634,0.42,0.3,29.497,7.382,7.921,0.943,0.082,0.046,3.16E-05,5.29E-05,1.60E-05,8571,2096,2261,0.4,0.254,0.141,AAA-222-111-000-0-0,,
203014590,16 11 58.017,-27 33 21.70,1,10.638,,6801-496-1,313-087889,16115800-2733216,STAR,gri,rpm,-28.7,3.1,-63.3,2.9,,,12.36,0.288,11.189,0.108,12.122,0.71,10.471,0.03,10.002,0.06,8.496,0.027,8.012,0.024,7.846,0.034,5324,53,213,3.561,1.024,0.02,-0.962,0.9,0.05,2.582,0.052,1.806,0.882,0.018,0.028,0.051,1.759,0.003,282.7,8.481,165.7,0.544,0.001,0.119,AAA-111-111-000-0-0,,
203014739,16 29 25.966,-27 33 19.67,1,11.231,,6803-2020-1,313-089767,16292596-2733196,STAR,BV,rpm,-29.3,3.1,-5.8,2.9,,,12.25,0.208,11.424,0.119,,,,,,,9.48,0.023,9.059,0.023,8.944,0.024,5456,371,168,3.924,0.608,0.192,-0.122,0.2,0.32,1.767,0.778,0.915,0.993,0.233,0.106,0.171,1.188,0.096,214.8,120.2,109.3,0.251,0.234,0.146,AAA-222-111-000-0-0,,
203014943,16 27 39.401,-27 33 17.08,1,12.275,,,313-089548,16273940-2733170,STAR,JHK,rpm,-7.4,1.3,-2.8,3.6,,,,,,,,,,,,,10.939,0.022,10.633,0.024,10.426,0.019,6808,2218,216,3.728,0.154,0.07,0.104,0.14,0.1,3.395,0.302,0.532,1.989,0.756,0.142,0.054,0.04,0.004,869.6,141.8,63.25,0.986,0.473,0.263,AAA-222-111-000-0-0,,
203015557,16 11 50.687,-27 33 09.81,1,8.404,79363,6801-214-1,313-087869,16115069-2733098,STAR,gri,plx,-17.43,1.03,-35.18,0.67,10.42,0.75,8.336,0.017,8.035,0.013,9.722,0.43,8.677,0.04,7.839,0.02,7.34,0.032,7.274,0.061,7.185,0.036,6943,485,346,4.234,0.045,0.063,0.01,0.15,0.15,1.536,0.129,0.103,1.452,0.106,0.106,0.406,0.071,0.082,95.97,6.908,6.908,0.093,0.102,0.034,AAA-111-111-ddd-0-0,,
