EPIC,KepMag,Kmag,Teff,mass,Radius
integer,float,float,integer,float,float
228771131,15.094,13.253,5072,0.845,1.944
228771171,15.349,14.085,5938,0.851,1.010
228771173,12.041,9.851,4890,1.140,3.753
228771227,15.246,12.179,3871,0.413,0.369
228771238,13.627,12.166,5836,1.003,1.094
228771253,13.249,11.745,5876,0.991,1.079
228771267,11.049,8.945,4925,0.968,5.084
228771292,16.203,13.019,3960,0.471,0.421
228771327,10.472,8.601,5079,0.889,7.408
228771344,13.870,11.896,5009,0.894,4.172
228771370,15.198,13.175,5070,0.813,0.764
228771391,17.320,14.524,3691,0.299,0.278
228771393,17.116,14.638,3950,0.415,0.376
228771435,14.245,12.061,4758,0.750,0.690
228771459,13.632,11.524,4953,0.783,0.729
228771482,14.173,11.673,4550,0.657,0.609
228771494,16.129,13.437,3889,0.402,0.362
228771499,12.764,10.910,4898,1.078,3.862
228771536,13.384,12.055,6309,0.929,1.201
228771577,16.691,15.194,3655,0.236,0.231
228771588,13.338,11.929,5931,0.994,1.245
228771589,12.986,10.309,4182,0.620,0.546
228771591,14.105,12.528,5735,0.905,0.948
228771624,16.619,14.146,3918,0.429,0.366
228771630,16.918,,,,
228771632,11.432,10.203,6539,1.303,1.506
228771643,14.047,12.142,5096,0.833,0.780
228771662,15.613,12.521,4197,0.579,0.518
228771681,11.311,10.022,6167,1.157,1.453
228771683,13.833,12.219,5491,1.069,2.032
228771687,15.429,11.580,3623,0.276,0.267
228771692,16.428,13.959,4129,0.526,0.475
228771707,16.035,13.348,3884,0.364,0.326
228771716,14.458,12.153,4822,0.768,0.705
228771735,14.262,12.194,5042,0.885,2.055
228771742,14.754,12.342,4729,0.836,4.987
228771747,14.563,12.813,5066,0.841,5.324
228771765,13.663,11.567,4815,0.913,8.396
228771780,12.741,11.217,5660,1.273,2.215
228771783,14.056,12.092,5073,0.886,1.610
228771788,13.667,,,,
228771825,13.667,11.429,3589,0.286,0.282
228771845,13.622,12.154,5936,0.828,0.922
228771846,13.783,12.411,5892,0.893,1.000
228771861,15.297,13.253,5138,0.775,0.728
228771895,14.166,12.503,5612,0.886,0.922
228771903,13.960,12.533,5913,0.889,1.004
228771984,12.693,11.552,6312,0.871,1.120
228772029,16.021,13.489,3779,0.364,0.328
228772086,15.791,13.339,3953,0.328,0.310
228772092,19.131,,,,
228772100,13.681,12.443,5712,0.966,0.997
228772111,13.759,12.409,5908,0.931,1.084
228772112,15.133,12.497,3530,0.177,0.197
228772119,13.518,11.521,4945,1.042,3.365
228772125,14.214,10.752,3443,0.198,0.215
228772134,17.007,,,,
228772139,14.553,12.482,5019,0.892,4.736
228772150,12.676,11.213,5924,0.845,0.932
228772165,11.961,9.842,4584,0.681,0.624
228772190,12.167,10.104,5016,0.912,7.864
228772220,15.648,12.501,3669,0.319,0.309
228772229,13.179,11.589,5652,0.943,0.937
228772279,15.111,13.186,5162,0.668,0.638
228772303,10.719,9.206,6026,1.069,1.133
228772317,10.550,9.246,5991,1.021,1.104
228772328,14.683,12.943,5346,0.867,0.934
228772345,17.381,,,,
228772384,13.520,11.642,5168,0.909,7.741
228772391,12.096,10.635,5725,1.202,2.060
228772414,13.993,12.522,6129,1.009,1.268
228772415,16.093,13.384,4060,0.416,0.377
228772422,19.055,,,,
228772439,13.938,12.447,5918,0.920,1.042
228772461,17.002,14.467,3636,0.269,0.258
228772471,13.767,12.086,5695,0.990,1.040
228772488,15.166,13.304,5191,0.848,0.805
228772491,12.593,10.437,4828,0.943,8.374
228772506,14.769,12.814,5082,0.711,0.681
228772509,14.968,13.250,5472,0.870,1.601
228772532,14.947,11.747,3979,0.491,0.445
228772567,15.768,14.673,6113,0.842,1.092
228772585,15.368,13.727,5713,0.835,0.872
228772615,14.627,12.615,5172,0.763,0.722
228772635,15.172,13.414,5401,0.759,0.742
228772642,10.597,8.214,4542,1.181,12.603
228772656,13.419,11.769,5613,0.895,0.883
228772708,13.635,11.981,5489,0.731,0.718
228772709,11.673,10.065,5697,0.898,0.886
228772723,16.276,12.646,3788,0.394,0.361
228772774,14.975,13.685,6468,0.768,0.960
228772870,17.290,14.571,,,
228772918,13.296,11.040,4830,0.807,0.736
228772925,13.017,11.596,5984,1.032,1.200
228772948,15.951,13.442,3766,0.351,0.331
228772957,15.247,13.542,5345,0.809,0.799
