EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
229161951,12 41 27.674,+02 19 04.17,1,17.397,,,,12412767+0219041,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,15.908,0.086,15.286,0.106,14.872,0.137,,,,,,,,,3788,504,315,4.959,0.120,0.192,-0.204,0.250,0.350,0.309,0.163,0.107,0.324,0.208,0.149,10.570,10.520,5.955,512.100,386.100,220.100,0.028,0.014,0.008,AAB-222-111-000-0-0,24.200,0923-0296265
229161959,12 27 36.335,+02 19 04.93,1,14.887,,,462-049169,12273633+0219047,1458-301-3-0415-0010,STAR,gri,rpm,-18.300,5.100,1.700,3.000,,,16.060,0.030,15.136,0.030,,,15.563,0.040,14.825,0.010,14.598,0.110,,,13.492,0.030,13.025,0.023,12.918,0.030,,,,,,,,,5056,102,82,4.588,0.040,0.048,-0.200,0.200,0.320,0.749,0.067,0.073,0.792,0.082,0.082,1.870,0.352,0.350,582.500,82.610,72.350,0.029,0.018,0.008,AAA-222-111-000-0-0,87.400,
229161966,12 20 07.951,+02 19 06.07,1,18.530,,,,,1458-301-3-0402-0126,STAR,gri,,1.000,4.000,0.000,4.000,,,,,,,19.953,0.044,18.702,0.008,18.473,0.009,18.355,0.010,18.306,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229162100,12 35 50.645,+02 19 17.92,1,15.104,,,462-049344,12355064+0219180,1458-301-3-0428-0110,STAR,gri,rpm,-3.800,2.300,-4.500,2.500,,,16.303,0.060,15.394,0.040,,,15.880,0.040,15.049,0.060,14.772,0.070,,,13.744,0.030,13.260,0.029,13.207,0.035,,,,,,,,,4971,118,148,4.566,0.054,1.467,-0.202,0.300,0.420,0.775,3.629,0.083,0.825,0.103,0.086,1.694,0.414,1.684,665.600,2916.000,89.880,0.031,0.019,0.008,AAA-222-111-000-0-0,118.400,
229162114,12 32 56.135,+02 19 19.11,1,14.872,,,462-049290,12325613+0219190,1458-301-3-0423-0076,STAR,gri,rpm,-15.400,5.800,2.000,3.300,,,15.884,0.030,15.073,0.030,,,15.425,0.030,14.835,0.040,14.635,0.090,,,13.555,0.030,13.151,0.033,12.988,0.034,,,,,,,,,5391,156,156,4.513,0.065,0.832,-0.385,0.350,0.560,0.847,1.389,0.123,0.849,0.079,0.110,1.385,0.483,1.307,744.700,1173.000,123.900,0.029,0.018,0.008,AAA-222-111-000-0-0,28.200,
229162178,12 35 14.814,+02 19 26.14,1,11.688,,289-66-1,462-049334,12351481+0219260,,STAR,gri,plx,14.100,1.900,-31.400,2.100,,,12.531,0.255,12.024,0.206,,,12.080,0.010,11.666,0.010,11.519,0.020,,,10.656,0.024,10.348,0.023,10.252,0.019,,,,,,,,,5983,96,96,4.231,0.145,0.203,-0.229,0.200,0.280,1.246,0.361,0.207,0.998,0.117,0.098,0.475,0.322,0.245,320.800,69.900,69.900,0.028,0.016,0.008,AAA-222-111-000-0-0,88.900,
229162202,12 28 42.388,+02 19 28.51,1,14.048,,,462-049187,12284238+0219285,,STAR,JHK,rpm,-14.600,3.400,-17.200,3.600,,,,,,,,,,,,,,,,,12.508,0.022,12.015,0.026,11.884,0.021,,,,,,,,,4982,148,148,4.605,0.025,0.040,-0.154,0.160,0.400,0.728,0.072,0.055,0.785,0.065,0.079,1.966,0.291,0.390,349.200,53.950,29.990,0.029,0.031,0.007,AAA-222-111-000-0-0,17.800,
229162209,12 31 53.161,+02 19 29.04,1,15.740,,,462-049279,12315315+0219288,1458-301-3-0422-0073,STAR,JHK,rpm,-22.600,2.900,-1.400,2.400,,,,,,,,,,,,,,,,,13.324,0.028,12.633,0.025,12.410,0.026,,,,,,,,,4058,188,157,4.802,0.060,0.072,-0.019,0.160,0.160,0.475,0.077,0.066,0.535,0.081,0.068,4.845,1.469,1.319,247.900,64.770,37.880,0.026,0.010,0.007,AAA-222-111-000-0-0,77.000,
229162223,12 33 40.600,+02 19 30.24,1,15.313,,,462-049302,12334059+0219303,1458-301-3-0425-0004,STAR,gri,rpm,-3.700,1.900,-13.700,2.100,,,16.582,0.030,15.571,0.010,,,16.031,0.050,15.274,0.010,15.005,0.060,,,13.822,0.028,13.324,0.027,13.220,0.038,,,,,,,,,4975,99,79,4.611,0.035,0.035,-0.224,0.200,0.360,0.711,0.053,0.068,0.776,0.055,0.089,2.045,0.436,0.304,637.700,66.370,71.440,0.028,0.013,0.008,AAA-222-111-000-0-0,46.200,
229162229,12 40 46.343,+02 19 30.85,1,16.800,,,,12404634+0219308,1458-301-3-0437-0017,STAR,gri,rpm,4.000,3.000,-6.000,3.000,,,,,,,18.514,0.017,17.300,0.005,16.796,0.005,16.586,0.005,16.512,0.010,15.621,0.065,15.165,0.072,14.780,0.129,,,,,,,,,5440,160,128,3.540,1.008,0.756,-1.470,0.700,0.840,2.456,2.617,1.881,0.797,0.019,0.096,0.049,2.432,0.046,5034.000,6215.000,3716.000,0.029,0.018,0.008,AAB-222-111-000-0-0,54.100,
