,Unnamed: 0,Unnamed: 0.1,EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
0,0,0,integer,ra,dec,integer,float,integer,string,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,integer,integer,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,string,float,string
2660,2660,2660,211999211,08 55 09.825,+20 14 28.56,1,12.822,,,552-044730,08550982+2014286,,STAR,gri,rpm,-5.8,2.4,14.4,1.6,,,13.451,0.01,12.876,0.031,,,13.165,0.02,12.759,0.041,12.676,0.02,,,11.862,0.022,11.543,0.021,11.535,0.019,6009,118,118,4.245,0.165,0.264,-0.251,0.2,0.24,1.256,0.481,0.271,1.035,0.108,0.13,0.463,0.37,0.282,576.2,175,134.2,0.033,0.008,0.007,,,
2661,2661,2661,211999218,08 54 21.273,+20 14 28.94,1,17.832,,,,08542127+2014289,5071-301-4-0132-0283,EXTENDED,gri,,0,3,6,3,,,,,,,20.381,0.101,18.593,0.011,17.868,0.009,17.506,0.009,17.248,0.031,16.686,0.15,16.183,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,2662,2662,211999267,09 06 54.555,+20 14 31.82,1,9.804,,1407-257-1,552-045133,09065454+2014318,,STAR,gri,plx,-59.1,1.3,-10.2,1.4,,,10.349,0.048,9.899,0.044,,,10.409,0.2,9.907,0.17,9.544,0.1,,,8.79,0.021,8.468,0.036,8.47,0.022,6033,174,139,4.201,0.084,0.07,-0.126,0.2,0.28,1.339,0.099,0.092,1.063,0.102,0.123,0.423,0.135,0.087,147.4,9.152,9.152,0.021,0.006,0.005,,,
2663,2663,2663,211999276,09 10 47.855,+20 14 32.21,1,14.149,,,552-045279,09104787+2014328,5061-301-1-0158-0088,STAR,gri,rpm,-109,8,-202,8,,,16.876,0.07,15.221,0.049,,,16.032,0.051,14.707,0.051,13.342,0.065,,,11.273,0.022,10.69,0.022,10.414,0.018,3435,199,166,5.074,0.072,0.084,-0.016,0.15,0.18,0.207,0.071,0.039,0.184,0.102,0.041,20.45,8.84,7.784,42.51,21.68,18.64,0.007,0.006,0.004,,,
2664,2664,2664,211999281,09 11 09.797,+20 14 32.45,1,18.174,,,,,5061-301-1-0159-0007,STAR,gri,,-5,3,2,3,,,,,,,18.269,0.013,18.185,0.006,18.171,0.007,18.009,0.008,17.999,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,2665,2665,211999417,09 09 32.230,+20 14 41.01,1,13.914,,,552-045230,09093223+2014410,,STAR,gri,rpm,-4.3,2.6,-6.7,3,,,15.056,0.01,14.124,0.03,,,14.67,0.09,13.867,0.02,13.59,0.08,,,12.566,0.024,12.098,0.032,12.053,0.021,5021,142,101,3.688,0.847,0.605,-0.231,0.25,0.45,2.085,2.335,1.409,0.888,0.258,0.099,0.095,2.154,0.086,1068,1057,728.6,0.031,0.008,0.006,,,
2666,2666,2666,211999596,08 59 21.218,+20 14 51.92,1,16.931,,,,08592121+2014519,5071-301-3-0139-0207,EXTENDED,gri,,4,2,4,2,,,,,,,19.654,0.062,17.932,0.008,16.934,0.006,16.502,0.006,16.153,0.013,15.923,0.094,15.24,0.102,14.918,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,2667,2667,211999627,08 53 33.029,+20 14 53.67,1,17.131,,,,08533302+2014536,5038-301-1-0047-0230,STAR,gri,rpm,-40,3,-9,3,,,,,,,21.78,0.115,19.19,0.01,17.723,0.006,16.248,0.005,15.422,0.006,13.931,0.026,13.351,0.026,13.078,0.025,3522,86,108,5.039,0.06,0.02,-0.073,0.24,0.16,0.244,0.007,0.041,0.233,0.012,0.046,16.36,6.749,1.092,137.1,7.455,24.99,0.018,0.016,0.006,,,
2668,2668,2668,211999662,09 09 50.117,+20 14 56.10,1,17.354,,,,09095011+2014561,5071-301-1-0154-0213,EXTENDED,gri,,-2,2,-2,2,,,,,,,19.15,0.032,17.899,0.007,17.388,0.006,17.121,0.007,16.892,0.016,16.568,0.138,16.068,0.181,15.629,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,2669,2669,211999666,09 08 25.479,+20 14 56.12,1,18.603,,,,,5071-301-1-0152-0130,STAR,gri,,-1,3,0,3,,,,,,,18.871,0.018,18.765,0.008,18.549,0.009,18.542,0.01,18.556,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,2670,2670,211999776,08 59 21.374,+20 15 02.40,1,18.063,,,,08592137+2015023,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.522,0.121,16.124,0.145,15.378,0.142,3647,498,332,5.008,0.115,0.161,-0.204,0.25,0.35,0.251,0.146,0.08,0.252,0.213,0.107,13.58,12.3,8.076,539.3,464.9,218.1,0.031,0.008,0.007,,,
2671,2671,2671,211999816,08 57 14.167,+20 15 04.11,1,14.195,,,552-044795,08571417+2015040,,STAR,gri,rpm,-16.2,3.4,-2.7,3.9,,,15.371,0.04,14.394,0.02,,,14.955,0.04,14.119,0.05,13.87,0.04,,,12.766,0.023,12.345,0.023,12.251,0.025,5117,82,82,4.562,0.03,0.036,0.004,0.2,0.2,0.797,0.049,0.055,0.867,0.036,0.058,1.652,0.245,0.213,454.9,35.23,37.92,0.034,0.008,0.007,,,
2672,2672,2672,211999894,09 11 16.711,+20 15 08.78,1,17.585,,,,09111671+2015087,5061-301-1-0159-0132,EXTENDED,gri,,2,3,1,3,,,,,,,20.56,0.066,18.577,0.008,17.59,0.006,17.16,0.006,16.782,0.013,15.885,0.065,15.171,0.065,14.769,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,
