EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V)
211490645,08 40 57.074,+13 00 14.74,1,17.921,,,,08405707+1300147,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.393,0.142,15.764,0.164,15.357,0.15,3851,578,361,4.923,0.14,0.196,-0.254,0.25,0.35,0.344,0.204,0.128,0.368,0.21,0.175,8.582,10.19,5.228,675,721.1,306.6,0.032,0.008,0.007
211490672,09 06 18.440,+13 00 16.27,1,14.491,,,516-050031,09061842+1300163,6004-301-6-0140-0151,STAR,gri,lam,-22.6,4.1,-5.4,4.6,,,16.219,0.09,14.972,0.09,,,15.784,0.37,14.42,0.03,13.936,0.2,,,12.609,0.024,12.048,0.032,11.861,0.019,4232,127,152,4.74,0.045,0.045,0.016,0.1,0.08,0.548,0.047,0.052,0.621,0.045,0.054,3.635,0.735,0.612,222.4,28.28,29.76,0.027,0.007,0.006
211490712,09 04 22.988,+13 00 18.59,1,12.811,,,516-049950,09042299+1300185,,STAR,gri,lam,-5.2,1.9,-2.5,2.3,,,13.371,0.05,12.864,0.04,,,13.193,0.32,12.708,0.03,12.647,0.11,,,11.88,0.022,11.61,0.03,11.586,0.023,6176,149,124,4.064,0.147,0.105,-0.079,0.12,0.15,1.631,0.303,0.256,1.225,0.112,0.112,0.242,0.156,0.082,762.4,150,125.3,0.032,0.011,0.006
211490728,08 55 54.798,+13 00 19.35,1,18.263,,,,08555479+1300193,5935-301-4-0118-0171,EXTENDED,gri,,-3,3,-3,3,,,,,,,21.574,0.188,19.395,0.014,18.26,0.009,17.778,0.009,17.384,0.021,16.369,0.105,15.773,0.129,15.275,0.117,,,,,,,,,,,,,,,,,,,,,,,,
211490730,09 09 07.358,+13 00 19.52,1,16.07,,,,09090735+1300195,5972-301-6-0147-0225,EXTENDED,gri,,2,3,4,1,,,,,,,18.867,0.032,17.008,0.004,16.077,0.003,15.668,0.003,15.338,0.006,14.856,0.064,14.306,0.079,13.779,0.069,,,,,,,,,,,,,,,,,,,,,,,,
211490750,08 53 29.644,+13 00 20.54,1,17.617,,,,08532964+1300205,5849-301-4-0114-0232,STAR,gri,rpm,-27,3,32,3,,,,,,,22.311,0.26,19.515,0.013,18.064,0.008,16.804,0.005,16.081,0.008,14.735,0.031,14.114,0.033,13.938,0.041,3625,113,113,5.031,0.042,0.03,-0.169,0.2,0.2,0.25,0.029,0.034,0.247,0.04,0.04,15.59,4.264,2.473,216,26.91,32.75,0.027,0.01,0.005
211490779,08 42 07.492,+13 00 22.30,1,14.218,,,516-049044,08420750+1300223,5182-301-2-0106-0185,STAR,gri,rpm,12.8,3,-68,2.9,,,15.78,0.04,14.637,0.04,,,15.17,0.05,14.64,0.9,13.811,0.12,,,12.622,0.022,12.075,0.031,11.916,0.023,3835,637,177,4.928,0.075,0.12,-0.136,0.2,0.52,0.346,0.118,0.075,0.378,0.14,0.093,8.426,4.624,3.441,124.4,77.16,32.39,0.019,0.01,0.005
211490784,08 55 25.797,+13 00 22.48,1,12.548,,,516-049607,08552580+1300225,,STAR,gri,rpm,4.8,1.7,-9.3,1.3,,,13.842,0.07,12.844,0.01,,,13.297,0.03,12.546,0.02,12.227,0.05,,,11.046,0.02,10.509,0.02,10.443,0.021,4877,77,77,2.71,0.546,0.455,-0.564,0.3,0.42,6.656,4.189,2.951,0.946,0.189,0.063,0.003,0.014,0.002,1543,1012,611,0.034,0.007,0.01
211490800,08 51 13.244,+13 00 23.12,1,18.185,,,,08511324+1300231,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.632,0.133,15.689,0.135,15.092,0.108,3722,392,327,4.98,0.13,0.156,-0.179,0.2,0.32,0.279,0.146,0.096,0.311,0.199,0.142,11.23,12.51,5.919,638.2,455.7,303.9,0.032,0.01,0.008
211490817,09 02 32.229,+13 00 23.91,1,17.166,,,,09023222+1300239,5935-301-3-0128-0282,EXTENDED,gri,,-1,2,-5,2,,,,,,,19.144,0.05,17.932,0.009,17.207,0.008,16.838,0.008,16.55,0.022,16.429,0.124,15.68,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,
