206209914,22 10 55.934,-09 36 00.84,1,14.002,,,402-128854,22105590-0936003,2576-301-1-0076-0288,STAR,JHK,rpm,168.7,8,-369.1,8,,,,,,,,,,,,,,,,,11.518,0.024,10.932,0.025,10.574,0.021,3514,504,605,5.057,0.14,0.14,-0.252,0.25,0.45,0.217,0.129,0.081,0.211,0.187,0.112,19.11,23.18,10.47,41.02,25.35,15.67,0.01,0.014,0.006,AAA-222-111-000-0-0,,
206209916,22 08 59.194,-09 36 00.72,1,15.722,,,402-128774,22085920-0936008,2576-301-1-0073-0145,STAR,JHK,rpm,11.4,8.2,-37.5,12.3,,,,,,,,,,,,,,,,,13.265,0.022,12.566,0.022,12.334,0.027,4035,176,125,4.811,0.045,0.063,-0.034,0.16,0.2,0.459,0.064,0.047,0.524,0.068,0.057,5.001,1.152,1.259,239.1,46.25,32.76,0.039,0.022,0.01,AAA-222-111-000-0-0,,
206209961,22 09 58.229,-09 35 58.18,1,17.706,,,,22095822-0935581,,STAR,J,col,,,,,,,,,,,,,,,,,,,,,16.195,0.12,15.232,0.117,14.866,0.141,3907,342,342,4.88,0.156,0.13,-0.193,0.25,0.35,0.371,0.13,0.142,0.41,0.148,0.207,6.982,9.423,3.189,735,387.7,328.8,0.042,0.018,0.009,BBB-222-111-000-0-0,,
206209986,22 10 45.154,-09 35 57.12,1,16.888,,,,22104515-0935571,2576-301-1-0076-0252,EXTENDED,gri,,-1,3,1,3,,,,,,,19.709,0.077,17.816,0.008,16.87,0.006,16.491,0.005,16.137,0.013,15.731,0.097,15.167,0.12,14.639,0.122,,,,,,,,,,,,,,,,,,,,,,,,,ABB-222-111-000-0-0,37.8,
206210063,22 41 04.237,-09 35 53.00,1,10.571,,5812-790-1,403-137819,22410423-0935528,,STAR,BV,rav,2.5,1.5,-18.7,1.6,,,11.145,0.072,10.642,0.066,,,,,,,,,,,9.755,0.027,9.521,0.022,9.471,0.021,6457,156,156,4.248,0.075,0.105,-0.03,0.1,0.12,1.389,0.222,0.14,1.262,0.092,0.076,0.468,0.142,0.145,251,38.79,28.33,0.037,0.014,0.008,AAA-222-111-000-0-0,,
206210101,22 16 58.784,-09 35 50.55,1,12.426,,,403-137049,22165878-0935504,,STAR,JHK,rpm,1.4,1.7,-5.2,1.8,,,,,,,,,,,,,,,,,11.346,0.026,11.05,0.026,11.031,0.023,6006,182,182,4.156,0.234,0.195,-0.073,0.2,0.28,1.341,0.446,0.286,1.09,0.155,0.129,0.373,0.459,0.206,494.9,145.6,131.7,0.042,0.01,0.008,AAA-222-111-000-0-0,,
206210128,22 51 07.829,-09 35 49.16,1,15.836,,,,22510782-0935491,2576-301-3-0142-0060,EXTENDED,gri,,8,4,20,2,,,,,,,17.376,0.014,16.368,0.004,15.885,0.003,15.608,0.003,15.418,0.008,15.014,0.07,14.314,0.082,13.988,0.081,,,,,,,,,,,,,,,,,,,,,,,,,AAA-222-111-000-0-0,7.8,0804-0746061
206210242,22 40 45.818,-09 35 43.04,1,12.167,,5812-330-1,403-137814,22404579-0935432,,STAR,gri,rav,19.8,3.1,-56.7,3.1,,,12.357,0.219,12.135,0.228,,,12.607,0.031,12.113,0.04,11.979,0.03,,,10.975,0.027,10.646,0.022,10.565,0.021,3950,156,156,4.82,0.063,0.045,0.082,0.08,0.1,0.456,0.047,0.067,0.515,0.068,0.08,5.315,1.676,1.113,77.29,18.33,12.56,0.02,0.007,0.005,AAA-222-111-000-0-0,,
206210253,22 08 11.524,-09 35 42.35,1,12.341,,,403-136737,22081152-0935423,,STAR,gri,rpm,1.5,1.3,-7,1.5,,,14.03,0.01,12.714,0.03,,,13.446,0.03,12.284,0.01,11.868,0.06,,,10.374,0.024,9.648,0.023,9.512,0.021,4222,50,50,1.348,0.42,0.672,-0.511,0.35,0.84,32.974,30.467,12.312,0.941,0.067,0.12,2.55E-05,8.32E-05,2.30E-05,4513,4409,1806,0.042,0.013,0.008,AAA-222-111-000-0-0,,
206210256,22 34 41.396,-09 35 42.21,1,10.759,,5811-222-1,403-137632,22344139-0935422,,STAR,BV,rpm,-14.2,2.2,-39.6,2.3,,,12.495,0.29,11.049,0.092,,,,,,,,,,,9.487,0.024,8.978,0.022,8.865,0.019,4944,116,116,3.384,0.318,0.424,-0.266,0.3,0.54,3.49,1.564,1.08,0.999,0.223,0.139,0.026,0.042,0.019,407.1,215.9,124.4,0.041,0.015,0.011,AAA-222-111-000-0-0,,
