EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,stpropflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,ep_teff,em_teff,logg,ep_logg,em_logg,[Fe/H],ep_[Fe/H],em_[Fe/H],Radius,ep_rad,em_rad,mass,ep_mass,em_mass,rho,ep_rho,em_rho,Distance,ep_d,em_d,E(B-V),ep_E(B-V),em_E(B-V),2MASS Flag,Nearest Neighbor,Nomad ID
206007795,22 48 33.681,-14 36 09.46,1,12.682,,,377-172602,22483368-1436094,,STAR,gri,rpm,-9.6,1.3,-5.6,1.4,,,13.423,0.03,12.797,0.06,,,13.039,0.03,12.631,0.05,12.53,0.17,,,11.593,0.026,11.233,0.023,11.166,0.023,5887,170,204,4.265,0.17,0.34,-0.177,0.2,0.32,1.233,0.556,0.3,1.003,0.116,0.116,0.495,0.427,0.334,467.1,211.8,109.5,0.04,0.014,0.012,AAA-222-111-000-0-0,,
206007828,22 22 49.297,-14 36 05.77,1,12.686,,,377-171894,22224929-1436056,,STAR,gri,rav,5.4,1.3,-0.8,1.5,,,13.85,0.044,12.973,0.031,,,13.355,0.032,12.701,0.041,12.399,0.061,,,11.316,0.026,10.803,0.025,10.746,0.027,4631,111,111,2.033,0.114,0.171,-0.739,0.15,0.15,14.841,3.671,1.553,0.913,0.04,0.018,2.68E-04,1.06E-04,1.21E-04,3676,871.5,402.8,0.044,0.021,0.008,AAA-222-111-000-0-0,,
206007851,22 22 11.242,-14 36 03.42,1,14.336,,,377-171866,22221123-1436033,,STAR,gri,rpm,34.3,2,-29.1,2.1,,,16.328,0.12,15.036,0.046,,,15.641,0.046,14.386,0.048,13.776,0.069,,,12.297,0.023,11.653,0.025,11.475,0.023,3961,95,47,4.839,0.035,0.042,0.019,0.1,0.22,0.442,0.044,0.04,0.507,0.051,0.051,5.53,1.119,0.93,143.3,22.38,14.11,0.03,0.007,0.005,AAA-222-111-000-0-0,,
206007877,22 52 53.858,-14 36 00.72,1,15.298,,,377-172732,22525385-1436006,,STAR,JHK,rpm,-41.6,2.6,-51.9,3,,,,,,,,,,,,,,,,,13.187,0.023,12.542,0.027,12.371,0.029,3961,285,158,4.876,0.055,0.066,-0.214,0.25,0.25,0.405,0.073,0.052,0.451,0.086,0.061,6.753,1.947,2.016,190.5,53.34,27.23,0.036,0.013,0.008,AAA-222-111-000-0-0,,
206007892,22 28 10.625,-14 35 57.77,1,12.023,,,378-173736,22281062-1435577,,STAR,gri,rpm,0.5,1.5,11.3,1.5,,,12.966,0.01,12.229,0.06,,,12.517,0.02,11.962,0.04,11.811,0.04,,,10.791,0.022,10.458,0.024,10.371,0.021,5657,204,102,4.189,0.275,0.33,0.053,0.12,0.39,1.311,0.695,0.454,1.014,0.153,0.109,0.44,0.772,0.309,339.9,167.5,129.7,0.041,0.014,0.007,AAA-222-111-000-0-0,,0754-0828699
206007916,22 06 10.098,-14 35 55.14,1,12.195,,,378-173018,22061009-1435551,,STAR,gri,rpm,15.2,0.9,-0.9,1.1,,,12.864,0.03,12.303,0.05,,,12.512,0.02,12.145,0.06,12.06,0.02,,,11.164,0.022,10.895,0.023,10.87,0.021,6167,148,123,4.153,0.155,0.186,-0.128,0.2,0.28,1.42,0.406,0.233,1.161,0.145,0.145,0.351,0.252,0.168,476.2,134.2,77.36,0.04,0.014,0.008,AAA-222-111-000-0-0,,
206007947,22 07 13.919,-14 35 52.52,1,12.869,,,378-173054,22071390-1435524,,STAR,gri,rpm,-3.6,1.2,-1.2,1.3,,,13.531,0.03,13.008,0.01,,,13.184,0.02,12.862,0.01,12.735,0.01,,,11.896,0.026,11.646,0.028,11.585,0.026,6289,103,128,4.214,0.126,0.21,-0.284,0.2,0.24,1.346,0.352,0.206,1.109,0.139,0.139,0.438,0.217,0.226,622.7,177.3,90.25,0.043,0.011,0.006,AAA-222-111-000-0-0,,
206007965,22 39 47.387,-14 35 49.74,1,18.288,,,,22394738-1435497,,STAR,JHK,col,,,,,,,,,,,,,,,,,,,,,15.802,0.138,15.181,0.162,14.857,0.165,3961,917,417,4.863,0.165,0.231,-0.245,0.3,0.48,0.382,0.248,0.15,0.432,0.255,0.213,6.216,8.695,4.041,615.1,736.9,296,0.042,0.016,0.009,BCC-222-111-000-0-0,,
206007972,22 24 10.337,-14 35 49.17,1,15.503,,,378-173604,22241034-1435493,,STAR,JHK,rpm,43.4,4.5,9.9,2.7,,,,,,,,,,,,,,,,,13.716,0.026,13.069,0.025,12.999,0.037,4272,220,264,4.764,0.078,0.065,-0.217,0.25,0.3,0.506,0.075,0.065,0.574,0.073,0.073,3.935,1.624,0.984,346.2,82.09,66.35,0.039,0.016,0.009,AAA-222-111-000-0-0,,
206008006,22 09 06.685,-14 35 44.71,1,12.119,,,378-173122,22090668-1435447,,STAR,gri,rpm,35.7,2.8,-16.2,1.2,,,12.787,0.03,12.225,0.04,,,12.433,0.02,12.076,0.02,11.984,0.03,,,11.146,0.024,10.9,0.025,10.845,0.023,6213,149,99,4.248,0.085,0.17,-0.377,0.3,0.36,1.255,0.177,0.134,1.022,0.118,0.142,0.529,0.169,0.225,415.2,65.93,36.54,0.044,0.014,0.011,AAA-222-111-000-0-0,,
